Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
SSF1993w;experiment;2017-02-27-09-00-55;1,0;1,0;-100;0,0;2,0;1,0;3,0;column;0,0;True;False;True;3,24900007248;True;0,583999872208
SSF1993w;experiment;2017-02-27-09-00-55;1,0;2,0;-100;0,0;1,0;3,0;2,0;row;1,0;True;False;False;1,48300004005;False;0,532999992371
SSF1993w;experiment;2017-02-27-09-00-55;1,0;3,0;-100;0,0;3,0;1,0;2,0;row;1,0;True;True;True;1,55000019073;True;1,06799983978
SSF1993w;experiment;2017-02-27-09-00-55;1,0;4,0;-100;1,0;2,0;3,0;0,0;row;1,0;False;False;False;1,18299984932;True;1,26400017738
SSF1993w;experiment;2017-02-27-09-00-55;1,0;5,0;-100;3,0;1,0;2,0;0,0;column;1,0;False;True;False;1,51499986649;True;1,26899981499
SSF1993w;experiment;2017-02-27-09-00-55;1,0;6,0;-100;3,0;0,0;1,0;2,0;column;1,0;False;True;False;1,382999897;True;0,664000034332
SSF1993w;experiment;2017-02-27-09-00-55;1,0;7,0;-100;1,0;0,0;3,0;2,0;column;1,0;False;False;False;1,65099978447;True;0,996999979019
SSF1993w;experiment;2017-02-27-09-00-55;1,0;8,0;-100;3,0;1,0;2,0;0,0;row;1,0;False;False;False;1,51699995995;True;0,532999992371
SSF1993w;experiment;2017-02-27-09-00-55;1,0;9,0;-100;1,0;3,0;0,0;2,0;column;1,0;True;False;False;1,15000009537;False;1,26099991798
SSF1993w;experiment;2017-02-27-09-00-55;1,0;10,0;-100;3,0;2,0;0,0;1,0;row;1,0;True;False;True;1,91599988937;True;0,605000019073
SSF1993w;experiment;2017-02-27-09-00-55;1,0;11,0;-100;1,0;0,0;2,0;3,0;row;1,0;False;True;False;1,78399991989;True;1,03299999237
SSF1993w;experiment;2017-02-27-09-00-55;1,0;12,0;-100;2,0;0,0;1,0;3,0;row;0,0;True;True;True;1,95000004768;True;1,43400001526
SSF1993w;experiment;2017-02-27-09-00-55;1,0;13,0;-100;0,0;3,0;2,0;1,0;column;1,0;True;False;False;2,71600008011;False;0,832999944687
SSF1993w;experiment;2017-02-27-09-00-55;1,0;14,0;-100;3,0;2,0;1,0;0,0;column;0,0;True;False;False;1,71600008011;False;1,12600016594
SSF1993w;experiment;2017-02-27-09-00-55;1,0;15,0;-100;0,0;1,0;2,0;3,0;row;0,0;False;False;False;1,98399996758;True;1,49199986458
SSF1993w;experiment;2017-02-27-09-00-55;1,0;16,0;-100;2,0;1,0;3,0;0,0;row;0,0;True;False;True;1,84999990463;True;0,9359998703
SSF1993w;experiment;2017-02-27-09-00-55;1,0;17,0;-100;2,0;0,0;3,0;1,0;row;0,0;False;False;False;1,71700000763;True;0,802000045776
SSF1993w;experiment;2017-02-27-09-00-55;1,0;18,0;-100;2,0;1,0;0,0;3,0;row;0,0;False;True;False;1,382999897;True;0,962000131607
SSF1993w;experiment;2017-02-27-09-00-55;1,0;19,0;-100;0,0;1,0;3,0;2,0;column;1,0;False;False;True;1,28300023079;False;0,567000150681
SSF1993w;experiment;2017-02-27-09-00-55;1,0;20,0;-100;1,0;2,0;0,0;3,0;row;0,0;True;False;True;1,31700015068;True;1,03400015831
SSF1993w;experiment;2017-02-27-09-00-55;1,0;21,0;-100;1,0;3,0;0,0;2,0;column;0,0;False;True;False;1,75;True;0,703999996185
SSF1993w;experiment;2017-02-27-09-00-55;1,0;22,0;-100;3,0;0,0;1,0;2,0;row;1,0;False;False;False;1,0490000248;True;0,868000030518
SSF1993w;experiment;2017-02-27-09-00-55;1,0;23,0;-100;0,0;2,0;3,0;1,0;row;1,0;True;False;False;1,51699995995;False;0,701999902725
SSF1993w;experiment;2017-02-27-09-00-55;1,0;24,0;-100;1,0;0,0;3,0;2,0;column;1,0;True;True;True;1,15000009537;True;1,23600006104
SSF1993w;experiment;2017-02-27-09-00-55;1,0;25,0;-100;0,0;1,0;2,0;3,0;column;0,0;True;True;True;2,01800012589;True;0,9359998703
SSF1993w;experiment;2017-02-27-09-00-55;1,0;26,0;-100;1,0;2,0;0,0;3,0;row;0,0;False;False;True;1,61699986458;False;0,867999792099
SSF1993w;experiment;2017-02-27-09-00-55;1,0;27,0;-100;1,0;0,0;3,0;2,0;column;0,0;False;False;True;1,28299999237;False;0,631999969482
SSF1993w;experiment;2017-02-27-09-00-55;1,0;28,0;-100;2,0;3,0;0,0;1,0;row;0,0;False;True;False;2,34999990463;True;0,958999872208
SSF1993w;experiment;2017-02-27-09-00-55;1,0;29,0;-100;3,0;1,0;2,0;0,0;column;0,0;True;False;True;1,75;True;1,16100001335
SSF1993w;experiment;2017-02-27-09-00-55;1,0;30,0;-100;2,0;1,0;3,0;0,0;row;1,0;False;True;False;1,25;True;0,936000108719
SSF1993w;experiment;2017-02-27-09-00-55;1,0;31,0;-100;2,0;0,0;1,0;3,0;column;0,0;True;False;True;2,25;True;0,900000095367
SSF1993w;experiment;2017-02-27-09-00-55;1,0;32,0;-100;0,0;3,0;2,0;1,0;row;1,0;False;True;True;2,11699986458;False;1,12699985504
SSF1993w;experiment;2017-02-27-09-00-55;1,0;33,0;-100;3,0;0,0;2,0;1,0;row;1,0;False;True;False;2,9470000267;True;1,33499979973
SSF1993w;experiment;2017-02-27-09-00-55;1,0;34,0;-100;2,0;1,0;0,0;3,0;column;1,0;True;False;True;1,14999985695;True;0,963999986649
SSF1993w;experiment;2017-02-27-09-00-55;1,0;35,0;-100;3,0;2,0;1,0;0,0;row;0,0;True;False;True;1,617000103;True;0,800999879837
SSF1993w;experiment;2017-02-27-09-00-55;1,0;36,0;-100;2,0;1,0;3,0;0,0;row;0,0;False;False;False;2,04999995232;True;1,23200011253
SSF1993w;experiment;2017-02-27-09-00-55;1,0;37,0;-100;3,0;0,0;1,0;2,0;row;0,0;False;True;False;3,48299980164;True;0,732000112534
SSF1993w;experiment;2017-02-27-09-00-55;1,0;38,0;-100;3,0;0,0;1,0;2,0;column;0,0;False;True;True;1,71599984169;False;1,09800004959
SSF1993w;experiment;2017-02-27-09-00-55;1,0;39,0;-100;2,0;3,0;0,0;1,0;column;1,0;False;False;False;1,91600012779;True;1,2990000248
