Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
YWH1992w;experiment;2017-03-28-14-02-40;1,0;1,0;-100;3,0;1,0;0,0;2,0;column;0,0;False;True;False;1,48199987411;True;1,27200007439
YWH1992w;experiment;2017-03-28-14-02-40;1,0;2,0;-100;3,0;0,0;2,0;1,0;row;1,0;False;True;True;1,41699981689;False;1,2389998436
YWH1992w;experiment;2017-03-28-14-02-40;1,0;3,0;-100;0,0;2,0;1,0;3,0;row;0,0;True;False;False;1,24900007248;False;0,867000102997
YWH1992w;experiment;2017-03-28-14-02-40;1,0;4,0;-100;2,0;3,0;0,0;1,0;column;1,0;False;False;True;1,68099999428;False;1,03900003433
YWH1992w;experiment;2017-03-28-14-02-40;1,0;5,0;-100;0,0;1,0;2,0;3,0;column;0,0;False;True;True;1,61699986458;False;1,40199995041
YWH1992w;experiment;2017-03-28-14-02-40;1,0;6,0;-100;2,0;1,0;3,0;0,0;column;1,0;True;True;False;2,21700000763;False;1,03299999237
YWH1992w;experiment;2017-03-28-14-02-40;1,0;7,0;-100;1,0;0,0;2,0;3,0;column;1,0;True;False;True;1,84999990463;True;0,830999851227
YWH1992w;experiment;2017-03-28-14-02-40;1,0;8,0;-100;2,0;1,0;3,0;0,0;column;0,0;True;False;True;1,48399996758;True;1,05599999428
YWH1992w;experiment;2017-03-28-14-02-40;1,0;9,0;-100;3,0;1,0;2,0;0,0;row;1,0;True;True;True;2,25;True;0,970999956131
YWH1992w;experiment;2017-03-28-14-02-40;1,0;10,0;-100;3,0;1,0;2,0;0,0;column;0,0;True;False;True;1,41699981689;True;0,636000156403
YWH1992w;experiment;2017-03-28-14-02-40;1,0;11,0;-100;3,0;1,0;2,0;0,0;row;1,0;False;True;False;1,48399996758;True;0,9359998703
YWH1992w;experiment;2017-03-28-14-02-40;1,0;12,0;-100;2,0;1,0;0,0;3,0;column;0,0;True;True;True;1,61500000954;True;0,962000131607
