Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
AAF1997w;experiment;2017-04-24-14-40-01;1,0;1,0;-100;0,0;2,0;1,0;3,0;column;1,0;True;False;False;0,961999893188;False;0,710999965668
AAF1997w;experiment;2017-04-24-14-40-01;1,0;2,0;-100;1,0;3,0;0,0;2,0;column;0,0;False;False;False;0,822999954224;True;0,771000146866
AAF1997w;experiment;2017-04-24-14-40-01;1,0;3,0;-100;1,0;0,0;3,0;2,0;row;1,0;False;True;False;0,950000047684;True;1,32299995422
AAF1997w;experiment;2017-04-24-14-40-01;1,0;4,0;-100;3,0;1,0;0,0;2,0;column;0,0;True;True;True;0,850000143051;True;0,888000011444
AAF1997w;experiment;2017-04-24-14-40-01;1,0;5,0;-100;2,0;0,0;3,0;1,0;row;1,0;False;True;False;0,815999984741;True;0,694999933243
AAF1997w;experiment;2017-04-24-14-40-01;1,0;6,0;-100;0,0;2,0;1,0;3,0;row;1,0;False;True;False;0,751000165939;True;1,46199989319
AAF1997w;experiment;2017-04-24-14-40-01;1,0;7,0;-100;1,0;3,0;0,0;2,0;column;1,0;False;True;False;0,549999952316;True;0,739000082016
AAF1997w;experiment;2017-04-24-14-40-01;1,0;8,0;-100;0,0;3,0;1,0;2,0;row;1,0;True;True;True;0,648999929428;True;0,928999900818
AAF1997w;experiment;2017-04-24-14-40-01;1,0;9,0;-100;1,0;3,0;2,0;0,0;column;1,0;True;True;False;0,749000072479;False;0,763000011444
AAF1997w;experiment;2017-04-24-14-40-01;1,0;10,0;-100;0,0;3,0;1,0;2,0;column;0,0;False;False;False;1,01699995995;True;1,16499996185
AAF1997w;experiment;2017-04-24-14-40-01;1,0;11,0;-100;0,0;2,0;3,0;1,0;column;1,0;True;True;True;1,21599984169;True;0,969000101089
AAF1997w;experiment;2017-04-24-14-40-01;1,0;12,0;-100;0,0;2,0;3,0;1,0;column;1,0;False;False;False;0,950000047684;True;0,858000040054
AAF1997w;experiment;2017-04-24-14-40-01;1,0;13,0;-100;3,0;2,0;1,0;0,0;row;1,0;False;True;True;1,08399987221;False;0,731000185013
AAF1997w;experiment;2017-04-24-14-40-01;1,0;14,0;-100;1,0;2,0;0,0;3,0;row;1,0;False;False;False;0,850000143051;True;0,794999837875
AAF1997w;experiment;2017-04-24-14-40-01;1,0;15,0;-100;0,0;1,0;3,0;2,0;column;1,0;False;False;False;0,950000047684;True;0,763000011444
AAF1997w;experiment;2017-04-24-14-40-01;1,0;16,0;-100;3,0;0,0;2,0;1,0;column;0,0;False;True;False;0,789000034332;True;1,06100010872
AAF1997w;experiment;2017-04-24-14-40-01;1,0;17,0;-100;2,0;0,0;1,0;3,0;row;0,0;False;False;False;0,949000120163;True;1,36899995804
AAF1997w;experiment;2017-04-24-14-40-01;1,0;18,0;-100;0,0;3,0;2,0;1,0;row;1,0;False;False;False;0,816999912262;True;0,664999961853
AAF1997w;experiment;2017-04-24-14-40-01;1,0;19,0;-100;0,0;2,0;1,0;3,0;column;1,0;False;False;False;1,15700006485;True;0,832000017166
AAF1997w;experiment;2017-04-24-14-40-01;1,0;20,0;-100;0,0;3,0;2,0;1,0;row;1,0;True;False;True;0,849999904633;True;1,44499993324
AAF1997w;experiment;2017-04-24-14-40-01;1,0;21,0;-100;1,0;2,0;3,0;0,0;column;1,0;True;False;False;0,915999889374;False;1,10400009155
