Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
AKB1996w;experiment;2017-02-01-10-27-01;1,0;1,0;-100;2,0;3,0;0,0;1,0;column;0,0;True;False;False;3,35000014305;False;0,52999997139
AKB1996w;experiment;2017-02-01-10-27-01;1,0;2,0;-100;3,0;2,0;1,0;0,0;column;1,0;False;True;False;2,38100004196;True;1,46800017357
AKB1996w;experiment;2017-02-01-10-27-01;1,0;3,0;-100;0,0;3,0;1,0;2,0;row;0,0;True;True;True;1,66700005531;True;1,23199987411
AKB1996w;experiment;2017-02-01-10-27-01;1,0;4,0;-100;3,0;2,0;0,0;1,0;column;0,0;True;True;False;1,65100002289;False;0,601999998093
AKB1996w;experiment;2017-02-01-10-27-01;1,0;5,0;-100;0,0;3,0;2,0;1,0;column;1,0;False;True;False;2,01499986649;True;1,15999984741
AKB1996w;experiment;2017-02-01-10-27-01;1,0;6,0;-100;3,0;0,0;2,0;1,0;column;0,0;True;True;True;1,78400015831;True;0,674000024796
AKB1996w;experiment;2017-02-01-10-27-01;1,0;7,0;-100;0,0;3,0;2,0;1,0;row;1,0;True;False;True;2,24699997902;True;0,763000011444
AKB1996w;experiment;2017-02-01-10-27-01;1,0;8,0;-100;1,0;0,0;2,0;3,0;row;0,0;True;True;True;1,71399998665;True;1,06999993324
AKB1996w;experiment;2017-02-01-10-27-01;1,0;9,0;-100;1,0;2,0;3,0;0,0;column;1,0;True;True;True;1,45000004768;True;1,17300009727
AKB1996w;experiment;2017-02-01-10-27-01;1,0;10,0;-100;1,0;3,0;0,0;2,0;row;0,0;True;True;True;1,21600008011;True;0,828999996185
AKB1996w;experiment;2017-02-01-10-27-01;1,0;11,0;-100;2,0;3,0;1,0;0,0;row;1,0;False;True;False;1,1819999218;True;0,667000055313
AKB1996w;experiment;2017-02-01-10-27-01;1,0;12,0;-100;0,0;2,0;3,0;1,0;column;0,0;False;True;True;1,78399991989;False;1,30500006676
AKB1996w;experiment;2017-02-01-10-27-01;1,0;13,0;-100;1,0;3,0;0,0;2,0;row;0,0;False;False;False;1,54799985886;True;0,801000118256
AKB1996w;experiment;2017-02-01-10-27-01;1,0;14,0;-100;2,0;1,0;0,0;3,0;column;0,0;True;True;True;1,21600008011;True;1,10100007057
AKB1996w;experiment;2017-02-01-10-27-01;1,0;15,0;-100;2,0;0,0;3,0;1,0;row;1,0;True;False;True;2,18400001526;True;0,801000118256
AKB1996w;experiment;2017-02-01-10-27-01;1,0;16,0;-100;0,0;3,0;2,0;1,0;column;1,0;True;True;True;1,78399991989;True;0,735000133514
AKB1996w;experiment;2017-02-01-10-27-01;1,0;17,0;-100;2,0;3,0;1,0;0,0;column;1,0;True;True;True;1,64800000191;True;1,25999999046
AKB1996w;experiment;2017-02-01-10-27-01;1,0;18,0;-100;1,0;3,0;2,0;0,0;row;0,0;False;False;False;1,55099987984;True;1,32799983025
AKB1996w;experiment;2017-02-01-10-27-01;1,0;19,0;-100;2,0;3,0;0,0;1,0;column;1,0;True;True;True;1,34999990463;True;0,606999874115
AKB1996w;experiment;2017-02-01-10-27-01;1,0;20,0;-100;1,0;2,0;3,0;0,0;column;0,0;False;False;False;1,34900021553;True;1,36199998856
AKB1996w;experiment;2017-02-01-10-27-01;1,0;21,0;-100;1,0;0,0;3,0;2,0;row;0,0;False;True;False;1,54800009727;True;0,59500002861
AKB1996w;experiment;2017-02-01-10-27-01;1,0;22,0;-100;1,0;0,0;2,0;3,0;row;1,0;True;True;True;1,34800004959;True;0,598999977112
AKB1996w;experiment;2017-02-01-10-27-01;1,0;23,0;-100;3,0;2,0;0,0;1,0;row;0,0;False;False;False;1,75;True;1,42500019073
AKB1996w;experiment;2017-02-01-10-27-01;1,0;24,0;-100;2,0;3,0;0,0;1,0;column;1,0;False;False;False;1,91599988937;True;1,42999982834
AKB1996w;experiment;2017-02-01-10-27-01;1,0;25,0;-100;3,0;2,0;1,0;0,0;row;1,0;True;True;False;0,913000106812;False;1,09500002861
AKB1996w;experiment;2017-02-01-10-27-01;1,0;26,0;-100;1,0;0,0;3,0;2,0;column;1,0;True;False;True;1,51700019836;True;0,540999889374
AKB1996w;experiment;2017-02-01-10-27-01;1,0;27,0;-100;3,0;2,0;1,0;0,0;row;0,0;True;True;True;2,54999995232;True;0,630000114441
AKB1996w;experiment;2017-02-01-10-27-01;1,0;28,0;-100;1,0;2,0;0,0;3,0;column;0,0;False;False;False;1,5490000248;True;0,898000001907
AKB1996w;experiment;2017-02-01-10-27-01;1,0;29,0;-100;2,0;3,0;1,0;0,0;column;0,0;False;True;False;1,5490000248;True;0,968999862671
AKB1996w;experiment;2017-02-01-10-27-01;1,0;30,0;-100;3,0;0,0;1,0;2,0;row;0,0;True;False;True;1,4470000267;True;1,43499994278
AKB1996w;experiment;2017-02-01-10-27-01;1,0;31,0;-100;2,0;3,0;1,0;0,0;row;0,0;False;True;True;1,9240000248;False;1,10400009155
AKB1996w;experiment;2017-02-01-10-27-01;1,0;32,0;-100;1,0;2,0;3,0;0,0;row;0,0;False;True;False;2,04999995232;True;1,46600008011
AKB1996w;experiment;2017-02-01-10-27-01;1,0;33,0;-100;2,0;0,0;3,0;1,0;row;0,0;True;False;True;1,64899992943;True;0,600999832153
AKB1996w;experiment;2017-02-01-10-27-01;1,0;34,0;-100;0,0;1,0;2,0;3,0;row;1,0;True;False;True;1,72299981117;True;1,26800012589
AKB1996w;experiment;2017-02-01-10-27-01;1,0;35,0;-100;0,0;3,0;1,0;2,0;column;1,0;True;False;True;1,14899992943;True;1,49199986458
AKB1996w;experiment;2017-02-01-10-27-01;1,0;36,0;-100;1,0;0,0;2,0;3,0;column;1,0;False;True;False;1,24599981308;True;1,13000011444
AKB1996w;experiment;2017-02-01-10-27-01;1,0;37,0;-100;2,0;0,0;1,0;3,0;column;1,0;True;False;True;1,48199987411;True;0,660999774933
AKB1996w;experiment;2017-02-01-10-27-01;1,0;38,0;-100;3,0;1,0;2,0;0,0;row;0,0;True;True;True;1,7460000515;True;0,802999973297
