Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
CEN2000w;experiment;2017-01-27-09-09-23;1,0;1,0;-100;0,0;3,0;1,0;2,0;row;1,0;False;False;True;2,24900007248;False;0,704999923706
CEN2000w;experiment;2017-01-27-09-09-23;1,0;2,0;-100;1,0;0,0;2,0;3,0;column;0,0;True;False;False;1,54699993134;False;1,30099987984
CEN2000w;experiment;2017-01-27-09-09-23;1,0;3,0;-100;2,0;1,0;0,0;3,0;row;1,0;False;True;True;2,0490000248;False;1,33599996567
CEN2000w;experiment;2017-01-27-09-09-23;1,0;4,0;-100;2,0;3,0;1,0;0,0;column;1,0;False;True;False;2,08099985123;True;0,601999998093
CEN2000w;experiment;2017-01-27-09-09-23;1,0;5,0;-100;1,0;2,0;0,0;3,0;row;0,0;False;False;False;2,11699986458;True;1,29699993134
CEN2000w;experiment;2017-01-27-09-09-23;1,0;6,0;-100;2,0;3,0;1,0;0,0;column;0,0;False;True;False;2,41700005531;True;0,96799993515
CEN2000w;experiment;2017-01-27-09-09-23;1,0;7,0;-100;0,0;1,0;3,0;2,0;row;0,0;True;False;True;1,34899997711;True;1,52500009537
CEN2000w;experiment;2017-01-27-09-09-23;1,0;8,0;-100;3,0;1,0;2,0;0,0;row;0,0;True;True;True;1,58300018311;True;0,526999950409
CEN2000w;experiment;2017-01-27-09-09-23;1,0;9,0;-100;0,0;2,0;3,0;1,0;row;1,0;False;False;False;2,04999995232;True;1,39499998093
CEN2000w;experiment;2017-01-27-09-09-23;1,0;10,0;-100;2,0;1,0;3,0;0,0;column;1,0;True;False;True;1,51699995995;True;0,898000001907
CEN2000w;experiment;2017-01-27-09-09-23;1,0;11,0;-100;0,0;2,0;3,0;1,0;column;0,0;False;False;False;1,28200006485;True;0,963999986649
CEN2000w;experiment;2017-01-27-09-09-23;1,0;12,0;-100;3,0;0,0;2,0;1,0;row;0,0;False;False;False;1,54999995232;True;0,695999860764
CEN2000w;experiment;2017-01-27-09-09-23;1,0;13,0;-100;2,0;0,0;3,0;1,0;row;0,0;False;False;False;1,04999995232;True;1,16999983788
CEN2000w;experiment;2017-01-27-09-09-23;1,0;14,0;-100;3,0;2,0;1,0;0,0;column;0,0;True;True;True;1,84899997711;True;1,39800000191
CEN2000w;experiment;2017-01-27-09-09-23;1,0;15,0;-100;0,0;2,0;3,0;1,0;column;1,0;False;True;False;2,08299994469;True;0,796000003815
