Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
GHA1996m;game;2017-02-23-09-00-03;1,0;1,0;-100;1,0;3,0;0,0;2,0;row;1,0;False;True;False;2,41700005531;True;1,47399997711
GHA1996m;game;2017-02-23-09-00-03;1,0;2,0;-100;2,0;1,0;0,0;3,0;column;0,0;True;True;False;1,04999995232;False;1,25999999046
GHA1996m;game;2017-02-23-09-00-03;1,0;3,0;-100;3,0;0,0;1,0;2,0;column;0,0;True;True;True;1,0490000248;True;0,700999975204
GHA1996m;game;2017-02-23-09-00-03;1,0;4,0;-100;2,0;1,0;0,0;3,0;row;0,0;True;True;True;1,01600003242;True;0,836999893188
GHA1996m;game;2017-02-23-09-00-03;1,0;5,0;-100;2,0;0,0;3,0;1,0;row;0,0;False;False;False;0,881999969482;True;0,56299996376
GHA1996m;game;2017-02-23-09-00-03;1,0;6,0;-100;0,0;3,0;2,0;1,0;column;1,0;False;False;False;0,950000047684;True;0,631999969482
GHA1996m;game;2017-02-23-09-00-03;1,0;7,0;-100;3,0;1,0;2,0;0,0;column;1,0;False;True;False;0,884000062943;True;1,06999993324
GHA1996m;game;2017-02-23-09-00-03;1,0;8,0;-100;0,0;1,0;2,0;3,0;row;1,0;False;False;False;1,21700000763;True;1,09500002861
GHA1996m;game;2017-02-23-09-00-03;1,0;9,0;-100;3,0;0,0;2,0;1,0;column;0,0;False;False;False;1,382999897;True;0,836000204086
GHA1996m;game;2017-02-23-09-00-03;1,0;10,0;-100;3,0;2,0;0,0;1,0;row;1,0;True;True;False;1,01700019836;False;0,998999834061
GHA1996m;game;2017-02-23-09-00-03;1,0;11,0;-100;1,0;0,0;2,0;3,0;row;1,0;False;False;False;0,717000007629;True;1,30100011826
GHA1996m;game;2017-02-23-09-00-03;1,0;12,0;-100;1,0;2,0;0,0;3,0;column;1,0;False;True;False;1,18400001526;True;1,06700015068
GHA1996m;game;2017-02-23-09-00-03;1,0;13,0;-100;2,0;3,0;0,0;1,0;row;0,0;True;False;False;0,950999975204;False;1,23099994659
GHA1996m;game;2017-02-23-09-00-03;1,0;14,0;-100;1,0;0,0;2,0;3,0;column;0,0;False;False;False;1,05100011826;True;1,16899991035
GHA1996m;game;2017-02-23-09-00-03;1,0;15,0;-100;2,0;0,0;1,0;3,0;row;1,0;False;False;False;1,18400001526;True;1,0640001297
GHA1996m;game;2017-02-23-09-00-03;1,0;16,0;-100;0,0;3,0;1,0;2,0;row;0,0;True;False;False;1,01699995995;False;0,728999853134
