Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
IDK1985w;experiment;2017-01-31-14-39-48;1,0;1,0;-100;0,0;3,0;2,0;1,0;row;1,0;True;True;True;16,3860001564;True;1,17000007629
IDK1985w;experiment;2017-01-31-14-39-48;1,0;2,0;-100;2,0;3,0;0,0;1,0;column;1,0;True;False;False;2,64499998093;False;0,994999885559
IDK1985w;experiment;2017-01-31-14-39-48;1,0;3,0;-100;2,0;0,0;1,0;3,0;column;0,0;False;True;False;3,132999897;True;1,03699994087
IDK1985w;experiment;2017-01-31-14-39-48;1,0;4,0;-100;1,0;3,0;2,0;0,0;row;0,0;False;True;False;3,14900016785;True;0,930999994278
IDK1985w;experiment;2017-01-31-14-39-48;1,0;5,0;-100;2,0;1,0;3,0;0,0;column;1,0;True;True;False;4,38199996948;False;0,9390001297
IDK1985w;experiment;2017-01-31-14-39-48;1,0;6,0;-100;2,0;3,0;1,0;0,0;column;1,0;True;True;True;1,48099994659;True;0,835000038147
IDK1985w;experiment;2017-01-31-14-39-48;1,0;7,0;-100;1,0;2,0;3,0;0,0;column;1,0;True;False;False;2,84999990463;False;1,02900004387
IDK1985w;experiment;2017-01-31-14-39-48;1,0;8,0;-100;2,0;0,0;1,0;3,0;row;1,0;False;True;True;2,98299980164;False;1,02999997139
IDK1985w;experiment;2017-01-31-14-39-48;1,0;9,0;-100;3,0;0,0;1,0;2,0;column;1,0;False;False;True;2,38199996948;False;0,926999807358
IDK1985w;experiment;2017-01-31-14-39-48;1,0;10,0;-100;0,0;3,0;1,0;2,0;column;0,0;False;True;False;2,21399998665;True;1,36299991608
IDK1985w;experiment;2017-01-31-14-39-48;1,0;11,0;-100;1,0;2,0;0,0;3,0;column;0,0;False;False;True;2,65199995041;False;1,4279999733
IDK1985w;experiment;2017-01-31-14-39-48;1,0;12,0;-100;1,0;2,0;3,0;0,0;column;1,0;False;False;True;3,48199987411;False;0,730000019073
IDK1985w;experiment;2017-01-31-14-39-48;1,0;13,0;-100;3,0;1,0;0,0;2,0;row;0,0;True;True;True;1,75;True;0,52599978447
IDK1985w;experiment;2017-01-31-14-39-48;1,0;14,0;-100;0,0;3,0;2,0;1,0;column;0,0;False;True;False;2,31699991226;True;1,1289999485
IDK1985w;experiment;2017-01-31-14-39-48;1,0;15,0;-100;1,0;2,0;3,0;0,0;column;0,0;False;True;False;2,18499994278;True;0,927000045776
IDK1985w;experiment;2017-01-31-14-39-48;1,0;16,0;-100;1,0;2,0;3,0;0,0;row;0,0;False;False;False;2,71599984169;True;0,898999929428
IDK1985w;experiment;2017-01-31-14-39-48;1,0;17,0;-100;2,0;3,0;1,0;0,0;row;1,0;False;True;True;1,14800000191;False;0,531000137329
IDK1985w;experiment;2017-01-31-14-39-48;1,0;18,0;-100;1,0;0,0;3,0;2,0;column;1,0;False;True;False;2,81700015068;True;0,634000062943
IDK1985w;experiment;2017-01-31-14-39-48;1,0;19,0;-100;3,0;0,0;1,0;2,0;row;1,0;False;False;True;2,21600008011;False;0,628999948502
IDK1985w;experiment;2017-01-31-14-39-48;1,0;20,0;-100;1,0;2,0;0,0;3,0;row;0,0;True;True;True;2,65100002289;True;0,571000099182
IDK1985w;experiment;2017-01-31-14-39-48;1,0;21,0;-100;3,0;2,0;0,0;1,0;row;0,0;False;False;False;2,78400015831;True;1,36599993706
IDK1985w;experiment;2017-01-31-14-39-48;1,0;22,0;-100;1,0;2,0;0,0;3,0;column;0,0;True;True;True;2,21799993515;True;1,03100013733
IDK1985w;experiment;2017-01-31-14-39-48;1,0;23,0;-100;2,0;1,0;0,0;3,0;column;1,0;False;True;False;3,0490000248;True;0,733999967575
IDK1985w;experiment;2017-01-31-14-39-48;1,0;24,0;-100;3,0;0,0;2,0;1,0;row;1,0;True;True;False;2,18099999428;False;0,593999862671
IDK1985w;experiment;2017-01-31-14-39-48;1,0;25,0;-100;1,0;3,0;2,0;0,0;column;0,0;True;False;False;2,61599993706;False;0,536999940872
IDK1985w;experiment;2017-01-31-14-39-48;1,0;26,0;-100;1,0;2,0;0,0;3,0;row;1,0;False;True;True;1,45000004768;False;1,23300004005
IDK1985w;experiment;2017-01-31-14-39-48;1,0;27,0;-100;0,0;3,0;1,0;2,0;column;0,0;True;False;False;3,04800009727;False;1,36600017548
IDK1985w;experiment;2017-01-31-14-39-48;1,0;28,0;-100;2,0;0,0;3,0;1,0;row;1,0;True;False;False;2,21700000763;False;0,730000019073
IDK1985w;experiment;2017-01-31-14-39-48;1,0;29,0;-100;2,0;1,0;3,0;0,0;column;1,0;False;False;True;2,95000004768;False;1,39700007439
IDK1985w;experiment;2017-01-31-14-39-48;1,0;30,0;-100;1,0;0,0;2,0;3,0;row;1,0;False;True;True;2,21700000763;False;1,46099996567
IDK1985w;experiment;2017-01-31-14-39-48;1,0;31,0;-100;0,0;2,0;1,0;3,0;row;1,0;False;False;False;1,75100016594;True;1,26900005341
IDK1985w;experiment;2017-01-31-14-39-48;1,0;32,0;-100;3,0;2,0;1,0;0,0;column;1,0;False;True;False;3,6139998436;True;1,16200017929
IDK1985w;experiment;2017-01-31-14-39-48;1,0;33,0;-100;3,0;0,0;2,0;1,0;row;0,0;True;True;True;1,48399996758;True;1,39499998093
IDK1985w;experiment;2017-01-31-14-39-48;1,0;34,0;-100;0,0;2,0;1,0;3,0;column;0,0;False;False;False;2,48200011253;True;0,602999925613
IDK1985w;experiment;2017-01-31-14-39-48;1,0;35,0;-100;0,0;3,0;1,0;2,0;row;0,0;False;True;False;2,28299999237;True;0,55999994278
IDK1985w;experiment;2017-01-31-14-39-48;1,0;36,0;-100;0,0;1,0;2,0;3,0;column;1,0;False;True;False;2,55000019073;True;1,0039999485
IDK1985w;experiment;2017-01-31-14-39-48;1,0;37,0;-100;0,0;3,0;2,0;1,0;row;1,0;False;True;True;2,14800000191;False;1,26699995995
IDK1985w;experiment;2017-01-31-14-39-48;1,0;38,0;-100;0,0;1,0;3,0;2,0;column;0,0;False;False;False;1,81599998474;True;1,23299980164
IDK1985w;experiment;2017-01-31-14-39-48;1,0;39,0;-100;3,0;0,0;2,0;1,0;column;0,0;False;False;False;1,64999985695;True;1,44000005722
IDK1985w;experiment;2017-01-31-14-39-48;1,0;40,0;-100;1,0;3,0;0,0;2,0;column;0,0;False;False;False;2,64900016785;True;0,535000085831
IDK1985w;experiment;2017-01-31-14-39-48;1,0;41,0;-100;0,0;1,0;3,0;2,0;row;0,0;False;False;False;2,48399996758;True;1,0039999485
IDK1985w;experiment;2017-01-31-14-39-48;1,0;42,0;-100;0,0;3,0;1,0;2,0;row;1,0;True;True;True;3,28299999237;True;1,32699990273
IDK1985w;experiment;2017-01-31-14-39-48;1,0;43,0;-100;3,0;0,0;1,0;2,0;column;0,0;False;True;False;2,04999995232;True;1,39499998093
IDK1985w;experiment;2017-01-31-14-39-48;1,0;44,0;-100;1,0;3,0;2,0;0,0;row;0,0;True;False;True;2,382999897;True;0,635999917984
IDK1985w;experiment;2017-01-31-14-39-48;1,0;45,0;-100;3,0;1,0;0,0;2,0;column;1,0;False;False;False;1,68400001526;True;1,26399993896
IDK1985w;experiment;2017-01-31-14-39-48;1,0;46,0;-100;2,0;1,0;3,0;0,0;row;1,0;True;True;True;1,58200001717;True;0,530000209808
IDK1985w;experiment;2017-01-31-14-39-48;1,0;47,0;-100;1,0;3,0;0,0;2,0;row;1,0;True;True;False;1,98500013351;False;0,797999858856
IDK1985w;experiment;2017-01-31-14-39-48;1,0;48,0;-100;2,0;3,0;0,0;1,0;column;1,0;False;False;False;1,88100004196;True;1,12999987602
IDK1985w;experiment;2017-01-31-14-39-48;2,0;1,0;100;3,0;2,0;0,0;1,0;row;1,0;False;True;False;2,06699991226;True;1,46600008011
IDK1985w;experiment;2017-01-31-14-39-48;2,0;2,0;100;2,0;0,0;3,0;1,0;column;1,0;True;True;False;2,23199987411;False;1,17199993134
IDK1985w;experiment;2017-01-31-14-39-48;2,0;3,0;100;1,0;0,0;3,0;2,0;column;1,0;True;True;False;2,30000019073;False;0,930000066757
IDK1985w;experiment;2017-01-31-14-39-48;2,0;4,0;100;1,0;2,0;0,0;3,0;row;1,0;False;False;True;1,99900007248;False;1,36100006104
IDK1985w;experiment;2017-01-31-14-39-48;2,0;5,0;100;3,0;0,0;2,0;1,0;row;0,0;False;False;False;1,89899992943;True;0,928999900818
IDK1985w;experiment;2017-01-31-14-39-48;2,0;6,0;100;0,0;1,0;3,0;2,0;row;1,0;True;False;True;1,53400015831;True;1,43400001526
IDK1985w;experiment;2017-01-31-14-39-48;2,0;7,0;100;3,0;0,0;1,0;2,0;column;0,0;True;False;False;1,7990000248;False;1,49499988556
IDK1985w;experiment;2017-01-31-14-39-48;2,0;8,0;100;1,0;0,0;2,0;3,0;row;0,0;True;True;True;2,36599993706;True;1,09899997711
IDK1985w;experiment;2017-01-31-14-39-48;2,0;9,0;100;0,0;1,0;3,0;2,0;column;1,0;True;False;False;1,46500015259;False;0,563999891281
IDK1985w;experiment;2017-01-31-14-39-48;2,0;10,0;100;2,0;0,0;1,0;3,0;row;0,0;False;True;False;1,73399996758;True;0,799000024796
IDK1985w;experiment;2017-01-31-14-39-48;2,0;11,0;100;0,0;2,0;3,0;1,0;column;0,0;False;True;True;1,70000004768;False;0,796000003815
IDK1985w;experiment;2017-01-31-14-39-48;2,0;12,0;100;2,0;3,0;0,0;1,0;column;0,0;False;False;False;1,59700012207;True;1,06399989128
IDK1985w;experiment;2017-01-31-14-39-48;2,0;13,0;100;1,0;3,0;0,0;2,0;row;0,0;True;False;True;1,06599998474;True;1,26600003242
IDK1985w;experiment;2017-01-31-14-39-48;2,0;14,0;100;3,0;2,0;1,0;0,0;row;0,0;False;True;True;1,40000009537;False;1,16700005531
IDK1985w;experiment;2017-01-31-14-39-48;2,0;15,0;100;1,0;3,0;0,0;2,0;row;0,0;False;False;False;1,92899990082;True;1,43099999428
IDK1985w;experiment;2017-01-31-14-39-48;2,0;16,0;100;3,0;2,0;0,0;1,0;column;0,0;True;False;True;2,46700000763;True;0,869999885559
IDK1985w;experiment;2017-01-31-14-39-48;2,0;17,0;100;0,0;3,0;1,0;2,0;row;0,0;True;False;True;1,73300004005;True;0,594000101089
IDK1985w;experiment;2017-01-31-14-39-48;2,0;18,0;100;3,0;1,0;0,0;2,0;row;0,0;True;False;True;1,46499991417;True;0,572999954224
IDK1985w;experiment;2017-01-31-14-39-48;2,0;19,0;100;2,0;1,0;3,0;0,0;column;0,0;True;False;True;1,40100002289;True;1,07100009918
IDK1985w;experiment;2017-01-31-14-39-48;2,0;20,0;100;2,0;0,0;1,0;3,0;column;1,0;False;False;False;2,76699995995;True;1,22600007057
IDK1985w;experiment;2017-01-31-14-39-48;2,0;21,0;100;1,0;2,0;3,0;0,0;column;1,0;False;True;False;2,23300004005;True;1,00199985504
IDK1985w;experiment;2017-01-31-14-39-48;2,0;22,0;100;0,0;3,0;1,0;2,0;column;1,0;False;True;False;1,36599993706;True;0,59500002861
IDK1985w;experiment;2017-01-31-14-39-48;2,0;23,0;100;3,0;1,0;2,0;0,0;row;1,0;True;True;True;1,36800003052;True;1,09600019455
IDK1985w;experiment;2017-01-31-14-39-48;2,0;24,0;100;2,0;1,0;3,0;0,0;row;0,0;True;False;False;2,36600017548;False;0,693000078201
IDK1985w;experiment;2017-01-31-14-39-48;2,0;25,0;100;1,0;2,0;0,0;3,0;column;0,0;False;False;True;1,63400006294;False;1,30099987984
IDK1985w;experiment;2017-01-31-14-39-48;2,0;26,0;100;2,0;0,0;3,0;1,0;row;0,0;False;True;True;1,0;False;0,874000072479
IDK1985w;experiment;2017-01-31-14-39-48;2,0;27,0;100;2,0;1,0;3,0;0,0;column;0,0;False;False;False;2,33299994469;True;1,00499987602
IDK1985w;experiment;2017-01-31-14-39-48;2,0;28,0;100;2,0;3,0;0,0;1,0;row;1,0;True;False;True;1,56699991226;True;0,726000070572
IDK1985w;experiment;2017-01-31-14-39-48;2,0;29,0;100;0,0;1,0;2,0;3,0;row;0,0;False;True;False;1,59999990463;True;0,632999897003
IDK1985w;experiment;2017-01-31-14-39-48;2,0;30,0;100;1,0;2,0;3,0;0,0;column;0,0;False;True;False;1,43300008774;True;1,36199998856
IDK1985w;experiment;2017-01-31-14-39-48;2,0;31,0;100;0,0;1,0;2,0;3,0;row;1,0;False;True;True;2,56699991226;False;0,605000019073
IDK1985w;experiment;2017-01-31-14-39-48;2,0;32,0;100;1,0;0,0;3,0;2,0;row;1,0;True;False;False;1,76600003242;False;0,796000003815
IDK1985w;experiment;2017-01-31-14-39-48;2,0;33,0;100;0,0;2,0;1,0;3,0;column;1,0;False;True;False;1,59899997711;True;1,4319999218
IDK1985w;experiment;2017-01-31-14-39-48;2,0;34,0;100;0,0;3,0;1,0;2,0;row;1,0;True;False;True;1,632999897;True;1,39499998093
IDK1985w;experiment;2017-01-31-14-39-48;2,0;35,0;100;2,0;1,0;0,0;3,0;row;0,0;True;False;False;1,26699995995;False;0,760999917984
IDK1985w;experiment;2017-01-31-14-39-48;2,0;36,0;100;3,0;0,0;2,0;1,0;row;1,0;False;True;False;1,86800003052;True;1,02600002289
IDK1985w;experiment;2017-01-31-14-39-48;2,0;37,0;100;2,0;0,0;3,0;1,0;row;0,0;True;False;True;1,36699986458;True;1,39599990845
IDK1985w;experiment;2017-01-31-14-39-48;2,0;38,0;100;2,0;3,0;1,0;0,0;column;0,0;True;False;False;1,66700005531;False;0,996999979019
IDK1985w;experiment;2017-01-31-14-39-48;2,0;39,0;100;3,0;0,0;1,0;2,0;row;0,0;True;True;True;1,76699995995;True;0,534999847412
IDK1985w;experiment;2017-01-31-14-39-48;2,0;40,0;100;3,0;0,0;1,0;2,0;column;1,0;True;True;False;2,79799985886;False;0,9390001297
IDK1985w;experiment;2017-01-31-14-39-48;2,0;41,0;100;3,0;1,0;2,0;0,0;column;1,0;False;True;False;1,60000014305;True;0,927999973297
IDK1985w;experiment;2017-01-31-14-39-48;2,0;42,0;100;2,0;1,0;0,0;3,0;column;0,0;False;False;True;2,33399987221;False;0,638000011444
IDK1985w;experiment;2017-01-31-14-39-48;2,0;43,0;100;2,0;1,0;0,0;3,0;row;1,0;True;True;True;2,0;True;1,16000008583
IDK1985w;experiment;2017-01-31-14-39-48;2,0;44,0;100;1,0;2,0;0,0;3,0;row;1,0;True;True;False;2,867000103;False;1,43200016022
IDK1985w;experiment;2017-01-31-14-39-48;2,0;45,0;100;0,0;2,0;3,0;1,0;row;1,0;True;True;True;2,46600008011;True;0,859999895096
IDK1985w;experiment;2017-01-31-14-39-48;2,0;46,0;100;1,0;0,0;3,0;2,0;column;0,0;False;True;True;1,93300008774;False;1,3710000515
IDK1985w;experiment;2017-01-31-14-39-48;2,0;47,0;100;2,0;0,0;1,0;3,0;row;1,0;True;True;False;2,03399991989;False;1,29500007629
IDK1985w;experiment;2017-01-31-14-39-48;2,0;48,0;100;0,0;3,0;2,0;1,0;row;0,0;True;False;True;2,70000004768;True;0,766999959946
IDK1985w;experiment;2017-01-31-14-39-48;3,0;1,0;1000;3,0;2,0;1,0;0,0;row;0,0;True;True;True;1,867000103;True;0,664000034332
IDK1985w;experiment;2017-01-31-14-39-48;3,0;2,0;1000;0,0;3,0;2,0;1,0;column;0,0;True;True;True;2,29800009727;True;1,35800004005
IDK1985w;experiment;2017-01-31-14-39-48;3,0;3,0;1000;1,0;3,0;2,0;0,0;column;1,0;True;True;True;2,23300004005;True;1,46900010109
IDK1985w;experiment;2017-01-31-14-39-48;3,0;4,0;1000;1,0;0,0;2,0;3,0;row;0,0;False;True;False;1,367000103;True;0,901999950409
IDK1985w;experiment;2017-01-31-14-39-48;3,0;5,0;1000;2,0;3,0;0,0;1,0;row;1,0;False;False;False;1,73399996758;True;1,40499997139
IDK1985w;experiment;2017-01-31-14-39-48;3,0;6,0;1000;3,0;2,0;0,0;1,0;column;0,0;False;True;False;2,09999990463;True;1,22600007057
IDK1985w;experiment;2017-01-31-14-39-48;3,0;7,0;1000;3,0;2,0;1,0;0,0;row;0,0;False;True;False;2,632999897;True;1,43200016022
IDK1985w;experiment;2017-01-31-14-39-48;3,0;8,0;1000;0,0;1,0;3,0;2,0;row;1,0;False;False;False;3,30000019073;True;1,22600007057
IDK1985w;experiment;2017-01-31-14-39-48;3,0;9,0;1000;3,0;1,0;0,0;2,0;column;1,0;True;True;True;1,86599993706;True;0,666000127792
IDK1985w;experiment;2017-01-31-14-39-48;3,0;10,0;1000;0,0;2,0;1,0;3,0;row;0,0;False;False;False;2,26799988747;True;1,02999997139
IDK1985w;experiment;2017-01-31-14-39-48;3,0;11,0;1000;3,0;2,0;0,0;1,0;column;0,0;True;True;True;2,29999995232;True;0,793999910355
IDK1985w;experiment;2017-01-31-14-39-48;3,0;12,0;1000;2,0;1,0;0,0;3,0;row;0,0;True;False;True;2,03399991989;True;1,49500012398
IDK1985w;experiment;2017-01-31-14-39-48;3,0;13,0;1000;0,0;2,0;1,0;3,0;row;1,0;True;False;False;1,86599993706;False;0,833000183105
IDK1985w;experiment;2017-01-31-14-39-48;3,0;14,0;1000;0,0;3,0;1,0;2,0;row;1,0;False;False;False;2,90000009537;True;1,00300002098
IDK1985w;experiment;2017-01-31-14-39-48;3,0;15,0;1000;3,0;1,0;2,0;0,0;column;0,0;False;False;False;2,99899983406;True;1,35699987411
IDK1985w;experiment;2017-01-31-14-39-48;3,0;16,0;1000;0,0;3,0;1,0;2,0;column;1,0;True;False;True;2,73300004005;True;1,49499988556
IDK1985w;experiment;2017-01-31-14-39-48;3,0;17,0;1000;2,0;1,0;0,0;3,0;row;0,0;False;True;True;2,03299999237;False;1,33400011063
IDK1985w;experiment;2017-01-31-14-39-48;3,0;18,0;1000;0,0;2,0;3,0;1,0;column;0,0;True;False;False;2,06700015068;False;0,894000053406
IDK1985w;experiment;2017-01-31-14-39-48;3,0;19,0;1000;1,0;3,0;0,0;2,0;row;0,0;True;True;True;2,59899997711;True;1,36500000954
IDK1985w;experiment;2017-01-31-14-39-48;3,0;20,0;1000;3,0;0,0;1,0;2,0;row;1,0;True;True;True;1,83400011063;True;0,56500005722
IDK1985w;experiment;2017-01-31-14-39-48;3,0;21,0;1000;2,0;3,0;1,0;0,0;column;0,0;True;True;False;2,29999995232;False;0,671000003815
IDK1985w;experiment;2017-01-31-14-39-48;3,0;22,0;1000;3,0;0,0;1,0;2,0;column;1,0;True;False;True;1,90000009537;True;1,1970000267
IDK1985w;experiment;2017-01-31-14-39-48;3,0;23,0;1000;3,0;2,0;0,0;1,0;column;1,0;False;False;False;2,0;True;1,16000008583
IDK1985w;experiment;2017-01-31-14-39-48;3,0;24,0;1000;1,0;2,0;3,0;0,0;row;1,0;False;True;False;2,03400015831;True;1,43699979782
IDK1985w;experiment;2017-01-31-14-39-48;3,0;25,0;1000;2,0;1,0;3,0;0,0;column;0,0;True;False;False;1,93299984932;False;1,09699988365
IDK1985w;experiment;2017-01-31-14-39-48;3,0;26,0;1000;3,0;1,0;2,0;0,0;column;1,0;True;False;True;1,76600003242;True;0,599999904633
IDK1985w;experiment;2017-01-31-14-39-48;3,0;27,0;1000;3,0;1,0;2,0;0,0;row;1,0;True;False;True;3,43300008774;True;1,39700007439
IDK1985w;experiment;2017-01-31-14-39-48;3,0;28,0;1000;2,0;1,0;3,0;0,0;column;1,0;True;False;True;1,53399991989;True;0,658999919891
IDK1985w;experiment;2017-01-31-14-39-48;3,0;29,0;1000;3,0;1,0;0,0;2,0;column;0,0;True;True;True;4,06500005722;True;0,962000131607
IDK1985w;experiment;2017-01-31-14-39-48;3,0;30,0;1000;2,0;1,0;0,0;3,0;column;0,0;True;True;False;2,06300020218;False;1,22799992561
IDK1985w;experiment;2017-01-31-14-39-48;3,0;31,0;1000;2,0;3,0;1,0;0,0;row;1,0;False;False;False;2,46700000763;True;1,12999987602
IDK1985w;experiment;2017-01-31-14-39-48;3,0;32,0;1000;2,0;3,0;1,0;0,0;row;0,0;False;False;False;2,83400011063;True;0,729000091553
IDK1985w;experiment;2017-01-31-14-39-48;3,0;33,0;1000;1,0;2,0;0,0;3,0;column;0,0;False;False;False;2,06700015068;True;0,928999900818
IDK1985w;experiment;2017-01-31-14-39-48;3,0;34,0;1000;1,0;0,0;3,0;2,0;row;0,0;False;False;False;2,43099999428;True;0,759999990463
IDK1985w;experiment;2017-01-31-14-39-48;3,0;35,0;1000;2,0;3,0;1,0;0,0;row;1,0;True;True;True;1,90199995041;True;0,996999979019
IDK1985w;experiment;2017-01-31-14-39-48;3,0;36,0;1000;2,0;0,0;3,0;1,0;row;1,0;True;False;True;3,9319999218;True;0,671000003815
IDK1985w;experiment;2017-01-31-14-39-48;3,0;37,0;1000;1,0;3,0;0,0;2,0;row;0,0;False;False;False;2,03200006485;True;0,766999959946
