Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
IRN1996w;game;2017-04-28-15-36-43;1,0;1,0;-100;3,0;1,0;2,0;0,0;row;1,0;False;False;False;1,78399991989;True;0,705000162125
IRN1996w;game;2017-04-28-15-36-43;1,0;2,0;-100;3,0;1,0;0,0;2,0;column;0,0;False;False;False;1,58400011063;True;0,93499994278
IRN1996w;game;2017-04-28-15-36-43;1,0;3,0;-100;2,0;3,0;1,0;0,0;column;0,0;True;False;True;2,08299994469;True;0,800999879837
IRN1996w;game;2017-04-28-15-36-43;1,0;4,0;-100;1,0;2,0;3,0;0,0;row;1,0;True;False;False;1,31599998474;False;0,706000089645
IRN1996w;game;2017-04-28-15-36-43;1,0;5,0;-100;1,0;0,0;3,0;2,0;row;0,0;False;True;False;1,88300013542;True;1,36000013351
IRN1996w;game;2017-04-28-15-36-43;1,0;6,0;-100;2,0;1,0;3,0;0,0;column;0,0;False;True;False;1,31699991226;True;1,16899991035
IRN1996w;game;2017-04-28-15-36-43;1,0;7,0;-100;0,0;3,0;2,0;1,0;column;1,0;True;False;False;1,21600008011;False;1,30199980736
IRN1996w;game;2017-04-28-15-36-43;1,0;8,0;-100;2,0;3,0;0,0;1,0;column;1,0;False;False;False;1,41600012779;True;1,12600016594
IRN1996w;game;2017-04-28-15-36-43;1,0;9,0;-100;3,0;0,0;2,0;1,0;column;0,0;False;False;False;1,41700005531;True;0,730000019073
IRN1996w;game;2017-04-28-15-36-43;1,0;10,0;-100;0,0;2,0;1,0;3,0;column;0,0;False;False;False;1,95000004768;True;1,36199998856
IRN1996w;game;2017-04-28-15-36-43;1,0;11,0;-100;1,0;3,0;2,0;0,0;row;0,0;False;False;False;1,25;True;0,723999977112
IRN1996w;game;2017-04-28-15-36-43;1,0;12,0;-100;3,0;1,0;0,0;2,0;column;1,0;False;False;True;2,01600003242;False;1,35899996758
IRN1996w;game;2017-04-28-15-36-43;1,0;13,0;-100;0,0;1,0;2,0;3,0;row;0,0;True;True;True;2,01699995995;True;0,648999929428
IRN1996w;game;2017-04-28-15-36-43;1,0;14,0;-100;2,0;3,0;1,0;0,0;row;0,0;False;True;False;1,01599979401;True;0,927999973297
IRN1996w;game;2017-04-28-15-36-43;1,0;15,0;-100;3,0;0,0;2,0;1,0;column;1,0;True;False;True;1,34899997711;True;0,695000171661
IRN1996w;game;2017-04-28-15-36-43;1,0;16,0;-100;3,0;2,0;0,0;1,0;column;0,0;False;False;True;1,48399996758;False;1,18899989128
IRN1996w;game;2017-04-28-15-36-43;1,0;17,0;-100;3,0;0,0;1,0;2,0;row;1,0;False;True;False;1,28400015831;True;0,993999958038
IRN1996w;game;2017-04-28-15-36-43;1,0;18,0;-100;3,0;1,0;0,0;2,0;row;1,0;True;False;True;2,24899983406;True;1,36899995804
IRN1996w;game;2017-04-28-15-36-43;1,0;19,0;-100;3,0;0,0;2,0;1,0;row;1,0;False;True;False;0,917000055313;True;1,19599986076
IRN1996w;game;2017-04-28-15-36-43;1,0;20,0;-100;0,0;1,0;3,0;2,0;column;0,0;False;True;False;0,917000055313;True;1,03299999237
IRN1996w;game;2017-04-28-15-36-43;1,0;21,0;-100;0,0;1,0;3,0;2,0;row;1,0;True;False;True;1,48300004005;True;1,49100017548
IRN1996w;game;2017-04-28-15-36-43;1,0;22,0;-100;0,0;2,0;3,0;1,0;row;1,0;True;True;False;1,15000009537;False;0,556999921799
IRN1996w;game;2017-04-28-15-36-43;1,0;23,0;-100;2,0;0,0;1,0;3,0;row;1,0;False;False;True;1,78199982643;False;0,626999855042
IRN1996w;game;2017-04-28-15-36-43;1,0;24,0;-100;0,0;2,0;3,0;1,0;row;0,0;True;True;False;1,28200006485;False;1,19199991226
