Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
MMM1993w;game;2017-05-04-14-00-44;1,0;1,0;-100;0,0;1,0;2,0;3,0;row;0,0;False;True;True;3,71500015259;False;1,26999998093
MMM1993w;game;2017-05-04-14-00-44;1,0;2,0;-100;2,0;3,0;1,0;0,0;column;1,0;True;True;True;2,58299994469;True;1,46600008011
MMM1993w;game;2017-05-04-14-00-44;1,0;3,0;-100;0,0;3,0;2,0;1,0;row;1,0;True;False;False;1,6819999218;False;0,866999864578
MMM1993w;game;2017-05-04-14-00-44;1,0;4,0;-100;0,0;2,0;1,0;3,0;column;0,0;False;True;True;2,34800004959;False;1,49500012398
MMM1993w;game;2017-05-04-14-00-44;1,0;5,0;-100;2,0;3,0;1,0;0,0;row;1,0;True;False;False;3,04699993134;False;1,492000103
MMM1993w;game;2017-05-04-14-00-44;1,0;6,0;-100;0,0;2,0;3,0;1,0;row;1,0;False;False;True;2,68300008774;False;0,523999929428
MMM1993w;game;2017-05-04-14-00-44;1,0;7,0;-100;1,0;0,0;3,0;2,0;column;1,0;True;True;True;3,5150001049;True;1,53100013733
MMM1993w;game;2017-05-04-14-00-44;1,0;8,0;-100;1,0;3,0;0,0;2,0;column;1,0;False;False;True;2,617000103;False;0,694999933243
MMM1993w;game;2017-05-04-14-00-44;1,0;9,0;-100;0,0;2,0;1,0;3,0;column;0,0;True;False;False;4,21700000763;False;1,19899988174
MMM1993w;game;2017-05-04-14-00-44;1,0;10,0;-100;3,0;2,0;0,0;1,0;row;1,0;True;False;True;3,94900012016;True;1,05800008774
MMM1993w;game;2017-05-04-14-00-44;1,0;11,0;-100;3,0;0,0;2,0;1,0;row;0,0;False;True;False;2,78299999237;True;0,763000011444
MMM1993w;game;2017-05-04-14-00-44;1,0;12,0;-100;0,0;3,0;2,0;1,0;row;0,0;True;True;True;2,18400001526;True;1,46799993515
MMM1993w;game;2017-05-04-14-00-44;1,0;13,0;-100;1,0;2,0;0,0;3,0;column;1,0;False;True;False;2,94900012016;True;0,661000013351
