Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
PHS1997w;experiment;2017-05-02-09-58-08;1,0;1,0;-100;1,0;3,0;0,0;2,0;row;0,0;True;True;True;3,38400006294;True;0,96799993515
PHS1997w;experiment;2017-05-02-09-58-08;1,0;2,0;-100;0,0;3,0;2,0;1,0;column;0,0;True;True;True;3,08099985123;True;1,03500008583
PHS1997w;experiment;2017-05-02-09-58-08;1,0;3,0;-100;1,0;0,0;3,0;2,0;row;1,0;True;False;True;2,18200016022;True;1,10500001907
PHS1997w;experiment;2017-05-02-09-58-08;1,0;4,0;-100;3,0;0,0;2,0;1,0;row;0,0;True;True;True;2,3820002079;True;0,999000072479
PHS1997w;experiment;2017-05-02-09-58-08;1,0;5,0;-100;3,0;2,0;0,0;1,0;column;1,0;False;True;False;1,0569999218;True;0,769000053406
PHS1997w;experiment;2017-05-02-09-58-08;1,0;6,0;-100;1,0;0,0;3,0;2,0;column;0,0;True;False;False;2,15400004387;False;1,50300002098
PHS1997w;experiment;2017-05-02-09-58-08;1,0;7,0;-100;0,0;3,0;2,0;1,0;row;0,0;False;False;False;1,75;True;1,10199999809
PHS1997w;experiment;2017-05-02-09-58-08;1,0;8,0;-100;0,0;2,0;3,0;1,0;row;0,0;True;True;True;1,28399991989;True;1,40100002289
PHS1997w;experiment;2017-05-02-09-58-08;1,0;9,0;-100;2,0;3,0;0,0;1,0;column;1,0;True;False;False;1,84800004959;False;1,36299991608
PHS1997w;experiment;2017-05-02-09-58-08;1,0;10,0;-100;3,0;2,0;0,0;1,0;column;0,0;True;False;True;2,83100008965;True;0,600000143051
PHS1997w;experiment;2017-05-02-09-58-08;1,0;11,0;-100;1,0;3,0;2,0;0,0;column;0,0;False;False;True;1,38100004196;False;0,590000152588
PHS1997w;experiment;2017-05-02-09-58-08;1,0;12,0;-100;1,0;0,0;2,0;3,0;row;1,0;False;True;False;2,04699993134;True;0,734999895096
PHS1997w;experiment;2017-05-02-09-58-08;1,0;13,0;-100;1,0;2,0;0,0;3,0;column;1,0;True;True;True;2,67500019073;True;0,688999891281
PHS1997w;experiment;2017-05-02-09-58-08;1,0;14,0;-100;0,0;1,0;2,0;3,0;column;0,0;False;False;True;1,98200011253;False;0,666999816895
PHS1997w;experiment;2017-05-02-09-58-08;1,0;15,0;-100;2,0;3,0;1,0;0,0;column;0,0;True;True;True;1,34899997711;True;0,702999830246
PHS1997w;experiment;2017-05-02-09-58-08;1,0;16,0;-100;3,0;0,0;2,0;1,0;row;1,0;True;False;True;1,91599988937;True;1,46799993515
PHS1997w;experiment;2017-05-02-09-58-08;1,0;17,0;-100;3,0;0,0;1,0;2,0;column;0,0;False;False;False;1,77999997139;True;0,565999984741
PHS1997w;experiment;2017-05-02-09-58-08;1,0;18,0;-100;1,0;3,0;2,0;0,0;column;1,0;True;False;True;1,58299994469;True;1,43000006676
PHS1997w;experiment;2017-05-02-09-58-08;1,0;19,0;-100;0,0;3,0;1,0;2,0;row;0,0;True;False;True;1,51599979401;True;0,638999938965
PHS1997w;experiment;2017-05-02-09-58-08;1,0;20,0;-100;2,0;1,0;3,0;0,0;column;1,0;True;False;True;1,34799981117;True;1,4399998188
PHS1997w;experiment;2017-05-02-09-58-08;1,0;21,0;-100;0,0;1,0;3,0;2,0;row;0,0;True;False;True;2,31599998474;True;1,1930000782
PHS1997w;experiment;2017-05-02-09-58-08;1,0;22,0;-100;2,0;3,0;0,0;1,0;row;0,0;False;False;False;1,21600008011;True;0,702999830246
PHS1997w;experiment;2017-05-02-09-58-08;1,0;23,0;-100;2,0;3,0;1,0;0,0;column;1,0;False;True;False;2,68299984932;True;0,801000118256
