Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
SMS1997w;experiment;2017-04-27-08-31-28;1,0;1,0;-100;1,0;2,0;0,0;3,0;row;1,0;True;False;False;1,38300013542;False;0,929000139236
SMS1997w;experiment;2017-04-27-08-31-28;1,0;2,0;-100;3,0;2,0;0,0;1,0;row;1,0;False;False;False;1,71600008011;True;1,49699997902
SMS1997w;experiment;2017-04-27-08-31-28;1,0;3,0;-100;0,0;1,0;2,0;3,0;column;0,0;True;False;True;1,21700000763;True;1,00400018692
SMS1997w;experiment;2017-04-27-08-31-28;1,0;4,0;-100;3,0;0,0;2,0;1,0;column;1,0;True;False;True;1,51699995995;True;1,28799986839
SMS1997w;experiment;2017-04-27-08-31-28;1,0;5,0;-100;0,0;2,0;1,0;3,0;column;1,0;True;True;True;1,88199996948;True;0,96799993515
SMS1997w;experiment;2017-04-27-08-31-28;1,0;6,0;-100;1,0;3,0;2,0;0,0;row;0,0;True;True;False;1,18799996376;False;0,936999797821
SMS1997w;experiment;2017-04-27-08-31-28;1,0;7,0;-100;0,0;3,0;1,0;2,0;row;1,0;True;False;False;1,65100002289;False;0,766999959946
SMS1997w;experiment;2017-04-27-08-31-28;1,0;8,0;-100;0,0;1,0;3,0;2,0;column;0,0;False;False;True;1,64100003242;False;1,06599998474
SMS1997w;experiment;2017-04-27-08-31-28;1,0;9,0;-100;1,0;0,0;2,0;3,0;column;1,0;True;False;True;1,21700000763;True;1,15499997139
SMS1997w;experiment;2017-04-27-08-31-28;1,0;10,0;-100;2,0;1,0;0,0;3,0;column;1,0;True;False;True;1,117000103;True;0,986000061035
SMS1997w;experiment;2017-04-27-08-31-28;1,0;11,0;-100;1,0;2,0;0,0;3,0;row;0,0;True;False;True;1,51600003242;True;1,36299991608
SMS1997w;experiment;2017-04-27-08-31-28;1,0;12,0;-100;0,0;2,0;1,0;3,0;row;1,0;False;True;False;1,64899992943;True;1,1970000267
SMS1997w;experiment;2017-04-27-08-31-28;1,0;13,0;-100;1,0;0,0;3,0;2,0;row;1,0;True;False;True;0,984000205994;True;0,874000072479
SMS1997w;experiment;2017-04-27-08-31-28;1,0;14,0;-100;1,0;3,0;0,0;2,0;row;0,0;True;True;True;0,916000127792;True;0,657999992371
SMS1997w;experiment;2017-04-27-08-31-28;1,0;15,0;-100;2,0;3,0;1,0;0,0;row;1,0;True;False;True;1,65000009537;True;1,35700011253
SMS1997w;experiment;2017-04-27-08-31-28;1,0;16,0;-100;2,0;1,0;3,0;0,0;column;0,0;True;False;True;0,982000112534;True;1,1970000267
SMS1997w;experiment;2017-04-27-08-31-28;1,0;17,0;-100;2,0;1,0;0,0;3,0;column;0,0;True;False;True;1,15000009537;True;1,36199998856
SMS1997w;experiment;2017-04-27-08-31-28;1,0;18,0;-100;0,0;1,0;2,0;3,0;row;1,0;True;True;False;1,18400001526;False;0,795000076294
SMS1997w;experiment;2017-04-27-08-31-28;1,0;19,0;-100;0,0;3,0;2,0;1,0;row;0,0;False;False;False;1,95000004768;True;1,13000011444
SMS1997w;experiment;2017-04-27-08-31-28;1,0;20,0;-100;3,0;1,0;2,0;0,0;column;1,0;False;False;True;1,98099994659;False;1,18899989128
SMS1997w;experiment;2017-04-27-08-31-28;1,0;21,0;-100;1,0;3,0;0,0;2,0;column;0,0;True;True;True;1,31599998474;True;1,29700016975
SMS1997w;experiment;2017-04-27-08-31-28;1,0;22,0;-100;2,0;1,0;3,0;0,0;column;1,0;False;False;False;1,18000006676;True;1,26799988747
SMS1997w;experiment;2017-04-27-08-31-28;1,0;23,0;-100;1,0;2,0;3,0;0,0;column;0,0;False;False;True;1,38400006294;False;0,536000013351
SMS1997w;experiment;2017-04-27-08-31-28;1,0;24,0;-100;1,0;2,0;0,0;3,0;row;0,0;False;False;False;1,75;True;0,628999948502
SMS1997w;experiment;2017-04-27-08-31-28;1,0;25,0;-100;2,0;3,0;1,0;0,0;row;0,0;True;True;True;1,98300004005;True;0,933000087738
SMS1997w;experiment;2017-04-27-08-31-28;1,0;26,0;-100;2,0;0,0;1,0;3,0;row;0,0;True;False;True;1,14999985695;True;1,42100000381
SMS1997w;experiment;2017-04-27-08-31-28;1,0;27,0;-100;0,0;3,0;1,0;2,0;column;0,0;True;False;False;1,18400001526;False;0,703999996185
SMS1997w;experiment;2017-04-27-08-31-28;1,0;28,0;-100;0,0;3,0;2,0;1,0;column;1,0;False;True;False;1,35099983215;True;1,42700004578
SMS1997w;experiment;2017-04-27-08-31-28;1,0;29,0;-100;2,0;3,0;0,0;1,0;row;1,0;True;False;True;1,48299980164;True;0,965000152588
SMS1997w;experiment;2017-04-27-08-31-28;1,0;30,0;-100;1,0;3,0;2,0;0,0;row;1,0;False;False;False;2,41700005531;True;1,09699988365
SMS1997w;experiment;2017-04-27-08-31-28;1,0;31,0;-100;2,0;0,0;3,0;1,0;row;1,0;True;False;True;2,0490000248;True;0,932999849319
SMS1997w;experiment;2017-04-27-08-31-28;1,0;32,0;-100;2,0;0,0;3,0;1,0;column;1,0;False;False;False;1,35000014305;True;0,558000087738
SMS1997w;experiment;2017-04-27-08-31-28;1,0;33,0;-100;2,0;1,0;3,0;0,0;column;0,0;False;True;False;1,85000014305;True;1,15899991989
SMS1997w;experiment;2017-04-27-08-31-28;1,0;34,0;-100;0,0;2,0;3,0;1,0;column;0,0;False;False;False;2,28400015831;True;1,15899991989
SMS1997w;experiment;2017-04-27-08-31-28;1,0;35,0;-100;2,0;0,0;3,0;1,0;column;1,0;True;True;True;1,98200011253;True;1,02900004387
SMS1997w;experiment;2017-04-27-08-31-28;1,0;36,0;-100;3,0;0,0;1,0;2,0;row;0,0;True;False;False;1,98099994659;False;1,46900010109
