Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
SRA1971w;game;2017-03-24-09-08-10;1,0;1,0;-100;1,0;0,0;3,0;2,0;row;1,0;False;True;False;6,78500008583;True;1,47000002861
SRA1971w;game;2017-03-24-09-08-10;1,0;2,0;-100;2,0;0,0;3,0;1,0;column;1,0;False;False;False;1,78399991989;True;0,5640001297
SRA1971w;game;2017-03-24-09-08-10;1,0;3,0;-100;2,0;0,0;1,0;3,0;column;0,0;True;False;True;1,34799981117;True;0,958999872208
SRA1971w;game;2017-03-24-09-08-10;1,0;4,0;-100;0,0;3,0;2,0;1,0;column;0,0;False;False;False;2,81700015068;True;1,49499988556
SRA1971w;game;2017-03-24-09-08-10;1,0;5,0;-100;1,0;2,0;3,0;0,0;column;1,0;False;True;True;2,25;False;1,03199982643
SRA1971w;game;2017-03-24-09-08-10;1,0;6,0;-100;2,0;3,0;1,0;0,0;column;0,0;False;True;False;2,21700000763;True;0,697999954224
SRA1971w;game;2017-03-24-09-08-10;1,0;7,0;-100;0,0;2,0;3,0;1,0;column;1,0;True;True;True;1,88199996948;True;1,16100001335
SRA1971w;game;2017-03-24-09-08-10;1,0;8,0;-100;1,0;2,0;0,0;3,0;row;0,0;False;True;False;3,11699986458;True;1,12800002098
SRA1971w;game;2017-03-24-09-08-10;1,0;9,0;-100;0,0;3,0;1,0;2,0;column;0,0;True;False;False;2,58200001717;False;0,694999933243
SRA1971w;game;2017-03-24-09-08-10;1,0;10,0;-100;0,0;1,0;3,0;2,0;row;0,0;True;True;True;2,65000009537;True;0,569000005722
SRA1971w;game;2017-03-24-09-08-10;1,0;11,0;-100;1,0;0,0;3,0;2,0;row;0,0;True;False;True;2,65000009537;True;0,699000120163
SRA1971w;game;2017-03-24-09-08-10;1,0;12,0;-100;1,0;3,0;0,0;2,0;column;1,0;True;False;True;1,18300008774;True;1,32500004768
SRA1971w;game;2017-03-24-09-08-10;1,0;13,0;-100;3,0;0,0;1,0;2,0;row;1,0;True;False;True;1,34999990463;True;1,29600000381
SRA1971w;game;2017-03-24-09-08-10;1,0;14,0;-100;0,0;1,0;2,0;3,0;row;0,0;True;True;True;2,08400011063;True;1,29499983788
SRA1971w;game;2017-03-24-09-08-10;1,0;15,0;-100;3,0;0,0;2,0;1,0;row;1,0;True;False;True;1,14999985695;True;1,33899998665
SRA1971w;game;2017-03-24-09-08-10;1,0;16,0;-100;0,0;3,0;2,0;1,0;row;0,0;True;True;True;1,5490000248;True;0,798000097275
SRA1971w;game;2017-03-24-09-08-10;1,0;17,0;-100;3,0;0,0;2,0;1,0;column;0,0;False;False;False;1,38300013542;True;1,40199995041
SRA1971w;game;2017-03-24-09-08-10;1,0;18,0;-100;3,0;2,0;1,0;0,0;column;1,0;False;True;True;1,98300004005;False;0,799999952316
SRA1971w;game;2017-03-24-09-08-10;1,0;19,0;-100;3,0;1,0;0,0;2,0;column;0,0;False;True;False;2,71499991417;True;0,538000106812
SRA1971w;game;2017-03-24-09-08-10;1,0;20,0;-100;1,0;3,0;2,0;0,0;column;1,0;True;True;True;1,04999995232;True;1,10100007057
SRA1971w;game;2017-03-24-09-08-10;1,0;21,0;-100;2,0;0,0;1,0;3,0;row;1,0;False;True;False;4,04400014877;True;1,29200005531
SRA1971w;game;2017-03-24-09-08-10;1,0;22,0;-100;0,0;2,0;1,0;3,0;row;0,0;False;False;False;2,58100008965;True;1,36899995804
SRA1971w;game;2017-03-24-09-08-10;1,0;23,0;-100;1,0;3,0;0,0;2,0;row;1,0;False;False;False;2,15000009537;True;0,601000070572
SRA1971w;game;2017-03-24-09-08-10;1,0;24,0;-100;3,0;2,0;0,0;1,0;row;0,0;False;False;False;1,98199987411;True;0,705000162125
SRA1971w;game;2017-03-24-09-08-10;1,0;25,0;-100;1,0;3,0;0,0;2,0;column;1,0;False;False;False;2,34999990463;True;0,670000076294
SRA1971w;game;2017-03-24-09-08-10;1,0;26,0;-100;3,0;1,0;0,0;2,0;column;1,0;False;False;False;2,41700005531;True;1,22299981117
SRA1971w;game;2017-03-24-09-08-10;1,0;27,0;-100;0,0;1,0;2,0;3,0;column;1,0;False;True;False;1,18300008774;True;1,10299992561
SRA1971w;game;2017-03-24-09-08-10;1,0;28,0;-100;0,0;1,0;3,0;2,0;row;0,0;False;True;False;1,45000004768;True;1,35800004005
SRA1971w;game;2017-03-24-09-08-10;1,0;29,0;-100;3,0;0,0;2,0;1,0;row;0,0;False;False;False;1,78399991989;True;1,29800009727
SRA1971w;game;2017-03-24-09-08-10;1,0;30,0;-100;2,0;1,0;3,0;0,0;column;1,0;True;True;False;1,38300013542;False;0,901000022888
SRA1971w;game;2017-03-24-09-08-10;1,0;31,0;-100;0,0;2,0;1,0;3,0;row;0,0;True;False;True;1,88400006294;True;1,43299984932
SRA1971w;game;2017-03-24-09-08-10;1,0;32,0;-100;2,0;1,0;3,0;0,0;row;1,0;False;True;False;2,81700015068;True;0,990999937057
SRA1971w;game;2017-03-24-09-08-10;1,0;33,0;-100;3,0;1,0;0,0;2,0;column;1,0;True;False;True;2,88399982452;True;0,895999908447
SRA1971w;game;2017-03-24-09-08-10;1,0;34,0;-100;2,0;0,0;3,0;1,0;row;0,0;True;False;False;1,91699981689;False;1,19400000572
SRA1971w;game;2017-03-24-09-08-10;1,0;35,0;-100;3,0;2,0;0,0;1,0;column;1,0;True;False;True;1,08100008965;True;1,4240000248
