Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
SSF1993w;game;2017-02-02-10-44-25;1,0;1,0;-100;2,0;0,0;3,0;1,0;column;1,0;False;False;False;3,71399998665;True;0,990000009537
SSF1993w;game;2017-02-02-10-44-25;1,0;2,0;-100;0,0;3,0;2,0;1,0;column;1,0;False;False;True;2,81700015068;False;1,49699997902
SSF1993w;game;2017-02-02-10-44-25;1,0;3,0;-100;1,0;0,0;3,0;2,0;column;1,0;True;False;False;3,78200006485;False;0,898000001907
SSF1993w;game;2017-02-02-10-44-25;1,0;4,0;-100;0,0;2,0;3,0;1,0;column;1,0;False;False;True;1,44999980927;False;1,43200016022
SSF1993w;game;2017-02-02-10-44-25;1,0;5,0;-100;0,0;1,0;2,0;3,0;row;0,0;False;False;False;4,61599993706;True;0,763000011444
SSF1993w;game;2017-02-02-10-44-25;1,0;6,0;-100;1,0;2,0;3,0;0,0;column;0,0;True;False;False;6,42399978638;False;0,925999879837
SSF1993w;game;2017-02-02-10-44-25;1,0;7,0;-100;0,0;2,0;3,0;1,0;row;0,0;False;False;True;2,43499994278;False;0,532999992371
SSF1993w;game;2017-02-02-10-44-25;1,0;8,0;-100;3,0;0,0;1,0;2,0;column;1,0;False;True;False;3,98099994659;True;1,45900011063
SSF1993w;game;2017-02-02-10-44-25;1,0;9,0;-100;2,0;1,0;0,0;3,0;column;0,0;False;True;True;1,9470000267;False;1,09800004959
SSF1993w;game;2017-02-02-10-44-25;1,0;10,0;-100;3,0;1,0;2,0;0,0;column;1,0;False;True;False;2,38400006294;True;0,789999961853
SSF1993w;game;2017-02-02-10-44-25;1,0;11,0;-100;3,0;1,0;2,0;0,0;column;0,0;True;False;False;2,21700000763;False;1,00600004196
SSF1993w;game;2017-02-02-10-44-25;1,0;12,0;-100;2,0;0,0;3,0;1,0;row;1,0;False;True;False;2,61899995804;True;0,97000002861
SSF1993w;game;2017-02-02-10-44-25;1,0;13,0;-100;3,0;2,0;1,0;0,0;column;0,0;False;False;False;7,21399998665;True;0,626999855042
SSF1993w;game;2017-02-02-10-44-25;1,0;14,0;-100;3,0;2,0;1,0;0,0;column;1,0;False;False;False;2,01699995995;True;1,20599985123
SSF1993w;game;2017-02-02-10-44-25;1,0;15,0;-100;2,0;1,0;3,0;0,0;column;1,0;False;False;False;1,35000014305;True;0,966000080109
