Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
TMM90W;game;2017-01-20-12-12-55;1,0;1,0;-100;2,0;0,0;3,0;1,0;row;0,0;True;False;False;2,51699995995;False;0,969000101089
TMM90W;game;2017-01-20-12-12-55;1,0;2,0;-100;2,0;3,0;0,0;1,0;row;1,0;False;True;False;1,61699986458;True;0,56500005722
TMM90W;game;2017-01-20-12-12-55;1,0;3,0;-100;3,0;0,0;2,0;1,0;column;1,0;False;True;False;1,81699991226;True;1,29699993134
TMM90W;game;2017-01-20-12-12-55;1,0;4,0;-100;1,0;2,0;0,0;3,0;column;1,0;False;True;False;1,98299980164;True;1,16400003433
TMM90W;game;2017-01-20-12-12-55;1,0;5,0;-100;0,0;3,0;1,0;2,0;column;0,0;False;True;False;2,48199987411;True;0,893999814987
TMM90W;game;2017-01-20-12-12-55;1,0;6,0;-100;3,0;1,0;0,0;2,0;row;0,0;True;True;True;1,88199996948;True;0,793999910355
TMM90W;game;2017-01-20-12-12-55;1,0;7,0;-100;2,0;3,0;1,0;0,0;column;1,0;True;False;False;1,81699991226;False;0,59500002861
TMM90W;game;2017-01-20-12-12-55;1,0;8,0;-100;0,0;3,0;2,0;1,0;row;0,0;True;True;False;2,18499994278;False;0,634999990463
TMM90W;game;2017-01-20-12-12-55;1,0;9,0;-100;0,0;1,0;2,0;3,0;column;0,0;True;False;False;1,78400015831;False;0,955999851227
TMM90W;game;2017-01-20-12-12-55;1,0;10,0;-100;3,0;0,0;1,0;2,0;row;1,0;False;True;False;1,64999985695;True;1,40100002289
TMM90W;game;2017-01-20-12-12-55;1,0;11,0;-100;2,0;0,0;3,0;1,0;column;0,0;False;True;False;2,61500000954;True;0,934000015259
TMM90W;game;2017-01-20-12-12-55;1,0;12,0;-100;1,0;3,0;2,0;0,0;column;0,0;False;True;False;3,11800003052;True;0,532999992371
TMM90W;game;2017-01-20-12-12-55;1,0;13,0;-100;1,0;3,0;2,0;0,0;row;1,0;False;True;False;1,98300004005;True;1,38900017738
TMM90W;game;2017-01-20-12-12-55;1,0;14,0;-100;3,0;1,0;2,0;0,0;column;1,0;True;False;True;2,55000019073;True;0,700999975204
TMM90W;game;2017-01-20-12-12-55;1,0;15,0;-100;1,0;2,0;3,0;0,0;row;1,0;True;True;True;1,45000004768;True;0,697999954224
TMM90W;game;2017-01-20-12-12-55;1,0;16,0;-100;1,0;0,0;3,0;2,0;column;0,0;False;False;False;2,08200001717;True;0,585999965668
TMM90W;game;2017-01-20-12-12-55;1,0;17,0;-100;0,0;3,0;1,0;2,0;row;1,0;True;True;True;1,74700021744;True;0,596999883652
TMM90W;game;2017-01-20-12-12-55;1,0;18,0;-100;1,0;3,0;2,0;0,0;column;1,0;True;True;True;2,34999990463;True;0,963999986649
TMM90W;game;2017-01-20-12-12-55;1,0;19,0;-100;0,0;1,0;3,0;2,0;column;1,0;False;False;False;1,28200006485;True;1,04200005531
TMM90W;game;2017-01-20-12-12-55;1,0;20,0;-100;0,0;3,0;2,0;1,0;row;0,0;False;True;False;2,0490000248;True;0,863000154495
TMM90W;game;2017-01-20-12-12-55;1,0;21,0;-100;2,0;3,0;0,0;1,0;row;0,0;True;False;True;2,88300013542;True;0,963999986649
TMM90W;game;2017-01-20-12-12-55;1,0;22,0;-100;1,0;0,0;2,0;3,0;row;0,0;True;False;True;2,44899988174;True;0,99799990654
TMM90W;game;2017-01-20-12-12-55;1,0;23,0;-100;0,0;3,0;1,0;2,0;column;0,0;True;True;False;1,85100007057;False;0,633000135422
TMM90W;game;2017-01-20-12-12-55;1,0;24,0;-100;2,0;1,0;0,0;3,0;column;1,0;True;False;False;2,54800009727;False;1,0609998703
TMM90W;game;2017-01-20-12-12-55;1,0;25,0;-100;1,0;2,0;0,0;3,0;row;1,0;True;True;True;2,01300001144;True;0,596999883652
TMM90W;game;2017-01-20-12-12-55;1,0;26,0;-100;3,0;0,0;1,0;2,0;column;0,0;False;True;False;1,64999985695;True;1,26699995995
TMM90W;game;2017-01-20-12-12-55;1,0;27,0;-100;0,0;3,0;2,0;1,0;row;1,0;False;False;False;2,78500008583;True;1,257999897
TMM90W;game;2017-01-20-12-12-55;1,0;28,0;-100;1,0;2,0;3,0;0,0;column;0,0;False;False;False;3,48300004005;True;0,56299996376
TMM90W;game;2017-01-20-12-12-55;1,0;29,0;-100;0,0;3,0;1,0;2,0;column;1,0;True;False;True;1,34599995613;True;0,999000072479
TMM90W;game;2017-01-20-12-12-55;1,0;30,0;-100;3,0;0,0;1,0;2,0;row;0,0;True;False;True;2,94599986076;True;0,763000011444
TMM90W;game;2017-01-20-12-12-55;1,0;31,0;-100;3,0;2,0;0,0;1,0;row;1,0;True;False;True;2,71500015259;True;1,16700005531
TMM90W;game;2017-01-20-12-12-55;1,0;32,0;-100;0,0;1,0;2,0;3,0;column;1,0;True;True;True;1,81699991226;True;1,1899998188
TMM90W;game;2017-01-20-12-12-55;1,0;33,0;-100;0,0;2,0;3,0;1,0;column;0,0;True;False;True;2,08200001717;True;1,36600017548
TMM90W;game;2017-01-20-12-12-55;1,0;34,0;-100;2,0;1,0;0,0;3,0;column;1,0;False;False;False;1,85100007057;True;1,10399985313
TMM90W;game;2017-01-20-12-12-55;1,0;35,0;-100;3,0;2,0;0,0;1,0;row;0,0;True;True;True;2,84999990463;True;1,15600013733
TMM90W;game;2017-01-20-12-12-55;1,0;36,0;-100;1,0;3,0;2,0;0,0;row;1,0;True;True;True;2,77800011635;True;0,602999925613
TMM90W;game;2017-01-20-12-12-55;1,0;37,0;-100;0,0;2,0;3,0;1,0;row;1,0;True;True;False;2,24900007248;False;1,19600009918
TMM90W;game;2017-01-20-12-12-55;1,0;38,0;-100;2,0;0,0;3,0;1,0;column;1,0;False;True;False;2,08299994469;True;0,799999952316
TMM90W;game;2017-01-20-12-12-55;1,0;39,0;-100;2,0;0,0;1,0;3,0;row;0,0;True;False;True;2,21600008011;True;1,2009999752
TMM90W;game;2017-01-20-12-12-55;1,0;40,0;-100;1,0;0,0;2,0;3,0;row;1,0;True;True;False;2,58200001717;False;0,593999862671
TMM90W;game;2017-01-20-12-12-55;1,0;41,0;-100;3,0;2,0;1,0;0,0;column;0,0;True;False;False;1,61699986458;False;0,759999990463
TMM90W;game;2017-01-20-12-12-55;1,0;42,0;-100;2,0;1,0;0,0;3,0;row;0,0;True;True;True;1,71599984169;True;1,43000006676
TMM90W;game;2017-01-20-12-12-55;1,0;43,0;-100;0,0;3,0;2,0;1,0;column;1,0;False;True;False;1,01599979401;True;0,970999956131
TMM90W;game;2017-01-20-12-12-55;1,0;44,0;-100;2,0;3,0;1,0;0,0;row;1,0;False;False;False;2,78299999237;True;1,03099989891
TMM90W;game;2017-01-20-12-12-55;1,0;45,0;-100;3,0;1,0;0,0;2,0;row;1,0;True;False;True;3,08200001717;True;1,22699999809
TMM90W;game;2017-01-20-12-12-55;1,0;46,0;-100;0,0;1,0;3,0;2,0;column;0,0;True;True;True;2,44899988174;True;1,2009999752
TMM90W;game;2017-01-20-12-12-55;1,0;47,0;-100;0,0;1,0;2,0;3,0;column;1,0;False;True;False;3,41599988937;True;1,16799998283
TMM90W;game;2017-01-20-12-12-55;1,0;48,0;-100;1,0;2,0;3,0;0,0;column;0,0;True;False;True;1,34800004959;True;0,90299987793
TMM90W;game;2017-01-20-12-12-55;2,0;1,0;100;1,0;3,0;2,0;0,0;column;1,0;False;False;False;2,69899988174;True;0,913000106812
TMM90W;game;2017-01-20-12-12-55;2,0;2,0;100;0,0;1,0;3,0;2,0;column;0,0;False;True;False;2,13300013542;True;1,20399999619
TMM90W;game;2017-01-20-12-12-55;2,0;3,0;100;2,0;1,0;3,0;0,0;row;1,0;True;True;True;1,5;True;0,934000015259
TMM90W;game;2017-01-20-12-12-55;2,0;4,0;100;0,0;3,0;1,0;2,0;column;1,0;False;False;True;2,06500005722;False;1,33400011063
TMM90W;game;2017-01-20-12-12-55;2,0;5,0;100;0,0;2,0;3,0;1,0;row;1,0;False;False;True;2,16700005531;False;0,52999997139
TMM90W;game;2017-01-20-12-12-55;2,0;6,0;100;2,0;3,0;1,0;0,0;column;0,0;False;True;False;2,0;True;1,12599992752
TMM90W;game;2017-01-20-12-12-55;2,0;7,0;100;2,0;0,0;1,0;3,0;column;1,0;True;False;False;1,93300008774;False;0,696000099182
TMM90W;game;2017-01-20-12-12-55;2,0;8,0;100;1,0;2,0;0,0;3,0;row;1,0;True;False;True;2,36600017548;True;0,594000101089
TMM90W;game;2017-01-20-12-12-55;2,0;9,0;100;0,0;3,0;1,0;2,0;row;1,0;False;True;True;1,29999995232;False;0,664000034332
TMM90W;game;2017-01-20-12-12-55;2,0;10,0;100;0,0;1,0;3,0;2,0;column;1,0;False;True;True;2,26700019836;False;0,925999879837
TMM90W;game;2017-01-20-12-12-55;2,0;11,0;100;0,0;1,0;2,0;3,0;column;1,0;False;False;False;1,79799985886;True;0,803000211716
TMM90W;game;2017-01-20-12-12-55;2,0;12,0;100;1,0;0,0;2,0;3,0;column;1,0;False;False;False;1,80000019073;True;0,796000003815
TMM90W;game;2017-01-20-12-12-55;2,0;13,0;100;2,0;0,0;1,0;3,0;row;0,0;False;True;False;1,63400006294;True;0,535000085831
TMM90W;game;2017-01-20-12-12-55;2,0;14,0;100;0,0;1,0;3,0;2,0;row;1,0;True;True;True;2,73399996758;True;1,39899992943
TMM90W;game;2017-01-20-12-12-55;2,0;15,0;100;1,0;0,0;3,0;2,0;row;1,0;True;False;True;2,09999990463;True;1,29600000381
TMM90W;game;2017-01-20-12-12-55;2,0;16,0;100;1,0;2,0;0,0;3,0;row;1,0;False;True;False;1,69900012016;True;1,09200000763
TMM90W;game;2017-01-20-12-12-55;2,0;17,0;100;1,0;3,0;2,0;0,0;row;0,0;False;False;False;2,26499986649;True;0,789999961853
TMM90W;game;2017-01-20-12-12-55;2,0;18,0;100;0,0;3,0;1,0;2,0;row;0,0;False;True;False;2,36500000954;True;0,665999889374
