Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
UWB1993w;game;2017-04-28-11-51-38;1,0;1,0;-100;3,0;0,0;1,0;2,0;row;0,0;False;False;False;2,4509999752;True;1,31299996376
UWB1993w;game;2017-04-28-11-51-38;1,0;2,0;-100;2,0;0,0;1,0;3,0;column;1,0;False;True;True;2,04999995232;False;0,898000001907
UWB1993w;game;2017-04-28-11-51-38;1,0;3,0;-100;1,0;3,0;2,0;0,0;column;0,0;True;True;True;2,48099994659;True;0,691999912262
UWB1993w;game;2017-04-28-11-51-38;1,0;4,0;-100;0,0;3,0;2,0;1,0;column;1,0;True;True;True;1,48300004005;True;1,20000004768
UWB1993w;game;2017-04-28-11-51-38;1,0;5,0;-100;0,0;2,0;3,0;1,0;column;0,0;False;False;False;1,98399996758;True;0,802000045776
UWB1993w;game;2017-04-28-11-51-38;1,0;6,0;-100;2,0;3,0;1,0;0,0;row;1,0;False;True;True;2,78399991989;False;1,28999996185
UWB1993w;game;2017-04-28-11-51-38;1,0;7,0;-100;3,0;1,0;2,0;0,0;column;0,0;False;True;False;2,38400006294;True;1,43400001526
UWB1993w;game;2017-04-28-11-51-38;1,0;8,0;-100;1,0;0,0;2,0;3,0;row;0,0;False;False;False;2,21700000763;True;1,46900010109
UWB1993w;game;2017-04-28-11-51-38;1,0;9,0;-100;0,0;1,0;2,0;3,0;column;0,0;False;False;False;2,11500000954;True;1,09500002861
UWB1993w;game;2017-04-28-11-51-38;1,0;10,0;-100;3,0;1,0;0,0;2,0;row;0,0;False;True;False;2,38300013542;True;1,16899991035
UWB1993w;game;2017-04-28-11-51-38;1,0;11,0;-100;3,0;1,0;2,0;0,0;row;1,0;False;False;False;2,28400015831;True;1,43000006676
UWB1993w;game;2017-04-28-11-51-38;1,0;12,0;-100;2,0;0,0;3,0;1,0;column;0,0;False;False;False;2,51999998093;True;0,969000101089
UWB1993w;game;2017-04-28-11-51-38;1,0;13,0;-100;1,0;0,0;3,0;2,0;column;1,0;True;True;False;1,61500000954;False;1,09700012207
