Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
VEH1985w;experiment;2017-01-26-09-19-31;1,0;1,0;-100;0,0;2,0;1,0;3,0;row;0,0;False;False;False;4,78299999237;True;0,90399980545
VEH1985w;experiment;2017-01-26-09-19-31;1,0;2,0;-100;0,0;1,0;3,0;2,0;row;0,0;False;False;False;1,31599998474;True;1,13800001144
VEH1985w;experiment;2017-01-26-09-19-31;1,0;3,0;-100;0,0;3,0;1,0;2,0;column;0,0;False;True;True;2,21600008011;False;0,967000007629
VEH1985w;experiment;2017-01-26-09-19-31;1,0;4,0;-100;3,0;2,0;0,0;1,0;column;0,0;True;False;False;1,0490000248;False;0,628000020981
VEH1985w;experiment;2017-01-26-09-19-31;1,0;5,0;-100;3,0;1,0;0,0;2,0;row;0,0;True;True;True;1,382999897;True;1,2959997654
VEH1985w;experiment;2017-01-26-09-19-31;1,0;6,0;-100;2,0;3,0;1,0;0,0;column;0,0;True;False;False;1,81699991226;False;0,796999931335
VEH1985w;experiment;2017-01-26-09-19-31;1,0;7,0;-100;3,0;1,0;2,0;0,0;column;1,0;True;False;True;2,11600017548;True;0,62299990654
VEH1985w;experiment;2017-01-26-09-19-31;1,0;8,0;-100;1,0;3,0;2,0;0,0;row;0,0;False;False;False;1,55000019073;True;0,661000013351
VEH1985w;experiment;2017-01-26-09-19-31;1,0;9,0;-100;2,0;0,0;3,0;1,0;row;1,0;False;False;True;1,94900012016;False;1,32800006866
VEH1985w;experiment;2017-01-26-09-19-31;1,0;10,0;-100;1,0;2,0;0,0;3,0;row;1,0;False;False;False;3,51499986649;True;1,03500008583
VEH1985w;experiment;2017-01-26-09-19-31;1,0;11,0;-100;0,0;3,0;2,0;1,0;column;1,0;True;True;True;1,51699995995;True;0,834000110626
VEH1985w;experiment;2017-01-26-09-19-31;1,0;12,0;-100;2,0;1,0;0,0;3,0;column;0,0;True;False;False;1,31700015068;False;0,733000040054
VEH1985w;experiment;2017-01-26-09-19-31;1,0;13,0;-100;1,0;2,0;3,0;0,0;column;1,0;False;False;False;1,25;True;0,901999950409
VEH1985w;experiment;2017-01-26-09-19-31;1,0;14,0;-100;3,0;0,0;1,0;2,0;row;0,0;False;False;False;1,01600003242;True;1,23300004005
VEH1985w;experiment;2017-01-26-09-19-31;1,0;15,0;-100;2,0;3,0;1,0;0,0;row;0,0;False;False;True;1,48200011253;False;1,26099991798
VEH1985w;experiment;2017-01-26-09-19-31;1,0;16,0;-100;3,0;0,0;1,0;2,0;column;0,0;False;False;False;1,21500015259;True;1,09899997711
VEH1985w;experiment;2017-01-26-09-19-31;1,0;17,0;-100;2,0;1,0;3,0;0,0;column;0,0;True;False;False;1,11699986458;False;1,02800011635
VEH1985w;experiment;2017-01-26-09-19-31;1,0;18,0;-100;1,0;0,0;3,0;2,0;row;0,0;True;True;False;0,883000135422;False;0,598999977112
VEH1985w;experiment;2017-01-26-09-19-31;1,0;19,0;-100;0,0;3,0;2,0;1,0;row;1,0;False;True;False;1,18300008774;True;1,10100007057
VEH1985w;experiment;2017-01-26-09-19-31;1,0;20,0;-100;1,0;0,0;2,0;3,0;column;1,0;True;False;True;1,05100011826;True;0,963000059128
VEH1985w;experiment;2017-01-26-09-19-31;1,0;21,0;-100;1,0;3,0;2,0;0,0;row;0,0;True;True;True;0,814999818802;True;0,768000125885
VEH1985w;experiment;2017-01-26-09-19-31;1,0;22,0;-100;3,0;2,0;1,0;0,0;column;1,0;False;True;False;1,05100011826;True;1,36199998856
VEH1985w;experiment;2017-01-26-09-19-31;1,0;23,0;-100;1,0;0,0;2,0;3,0;row;0,0;False;True;True;1,08299994469;False;0,699999809265
VEH1985w;experiment;2017-01-26-09-19-31;1,0;24,0;-100;1,0;3,0;0,0;2,0;row;1,0;True;False;False;1,01600003242;False;1,30400013924
VEH1985w;experiment;2017-01-26-09-19-31;1,0;25,0;-100;0,0;2,0;1,0;3,0;row;0,0;True;False;True;2,08399987221;True;1,16199994087
VEH1985w;experiment;2017-01-26-09-19-31;1,0;26,0;-100;2,0;0,0;1,0;3,0;column;1,0;True;True;True;0,75;True;1,26900005341
VEH1985w;experiment;2017-01-26-09-19-31;1,0;27,0;-100;2,0;0,0;1,0;3,0;column;0,0;False;False;False;1,11699986458;True;1,367000103
VEH1985w;experiment;2017-01-26-09-19-31;1,0;28,0;-100;3,0;1,0;0,0;2,0;column;1,0;True;False;True;1,11599993706;True;1,33599996567
VEH1985w;experiment;2017-01-26-09-19-31;1,0;29,0;-100;2,0;0,0;1,0;3,0;row;0,0;True;False;False;1,18299984932;False;0,763000011444
VEH1985w;experiment;2017-01-26-09-19-31;1,0;30,0;-100;1,0;2,0;3,0;0,0;column;0,0;True;False;False;1,11699986458;False;1,06900000572
