Observer;Condition;SessionID;Block;Trial;COA;Color0;Color1;Color2;Color3;Target;Which;Match;FlipComplimentary;Response;RT;Correct;OnsetDelay
WPM1996w;experiment;2017-04-28-13-43-48;1,0;1,0;-100;0,0;1,0;2,0;3,0;row;0,0;True;False;True;2,94499993324;True;0,976000070572
WPM1996w;experiment;2017-04-28-13-43-48;1,0;2,0;-100;2,0;1,0;0,0;3,0;row;0,0;False;False;False;3,35000014305;True;0,536000013351
WPM1996w;experiment;2017-04-28-13-43-48;1,0;3,0;-100;3,0;0,0;1,0;2,0;column;0,0;True;True;True;2,84899997711;True;1,33200001717
WPM1996w;experiment;2017-04-28-13-43-48;1,0;4,0;-100;0,0;3,0;1,0;2,0;row;1,0;True;True;True;2,98099994659;True;1,27300000191
WPM1996w;experiment;2017-04-28-13-43-48;1,0;5,0;-100;0,0;3,0;2,0;1,0;row;0,0;False;False;False;2,11500000954;True;1,10400009155
WPM1996w;experiment;2017-04-28-13-43-48;1,0;6,0;-100;3,0;1,0;0,0;2,0;column;0,0;True;True;True;3,68300008774;True;1,10399985313
WPM1996w;experiment;2017-04-28-13-43-48;1,0;7,0;-100;0,0;2,0;3,0;1,0;row;0,0;True;True;True;3,62299990654;True;0,605000019073
WPM1996w;experiment;2017-04-28-13-43-48;1,0;8,0;-100;0,0;2,0;1,0;3,0;column;1,0;True;True;True;2,51699995995;True;0,56299996376
WPM1996w;experiment;2017-04-28-13-43-48;1,0;9,0;-100;2,0;0,0;1,0;3,0;column;0,0;False;False;True;2,21700000763;False;0,962000131607
WPM1996w;experiment;2017-04-28-13-43-48;1,0;10,0;-100;1,0;3,0;0,0;2,0;column;0,0;False;True;True;4,75;False;0,523000001907
WPM1996w;experiment;2017-04-28-13-43-48;1,0;11,0;-100;0,0;1,0;2,0;3,0;column;1,0;False;False;False;3,38100004196;True;1,37399983406
WPM1996w;experiment;2017-04-28-13-43-48;1,0;12,0;-100;2,0;0,0;3,0;1,0;row;0,0;False;True;False;3,08400011063;True;0,697999954224
WPM1996w;experiment;2017-04-28-13-43-48;1,0;13,0;-100;1,0;3,0;0,0;2,0;column;1,0;False;True;True;3,14899992943;False;1,5150001049
WPM1996w;experiment;2017-04-28-13-43-48;1,0;14,0;-100;2,0;0,0;1,0;3,0;row;1,0;True;False;False;3,31699991226;False;1,23300004005
WPM1996w;experiment;2017-04-28-13-43-48;1,0;15,0;-100;3,0;0,0;2,0;1,0;column;1,0;True;False;True;2,51699995995;True;0,732000112534
WPM1996w;experiment;2017-04-28-13-43-48;1,0;16,0;-100;3,0;2,0;0,0;1,0;column;0,0;True;True;False;3,41600012779;False;0,827999830246
WPM1996w;experiment;2017-04-28-13-43-48;1,0;17,0;-100;3,0;0,0;2,0;1,0;column;0,0;True;False;True;4,05100011826;True;1,3069999218
WPM1996w;experiment;2017-04-28-13-43-48;1,0;18,0;-100;1,0;2,0;0,0;3,0;column;0,0;False;True;True;3,91499996185;False;0,796000003815
WPM1996w;experiment;2017-04-28-13-43-48;1,0;19,0;-100;2,0;3,0;1,0;0,0;column;0,0;False;True;False;4,21599984169;True;1,07100009918
WPM1996w;experiment;2017-04-28-13-43-48;1,0;20,0;-100;1,0;3,0;2,0;0,0;row;1,0;False;False;False;5,68300008774;True;0,630000114441
WPM1996w;experiment;2017-04-28-13-43-48;1,0;21,0;-100;3,0;0,0;1,0;2,0;row;1,0;True;False;True;4,94799995422;True;0,799999952316
WPM1996w;experiment;2017-04-28-13-43-48;1,0;22,0;-100;0,0;3,0;2,0;1,0;column;1,0;False;False;False;6,9849998951;True;0,936000108719
WPM1996w;experiment;2017-04-28-13-43-48;1,0;23,0;-100;2,0;1,0;3,0;0,0;row;1,0;False;False;False;4,31500005722;True;0,532999992371
WPM1996w;experiment;2017-04-28-13-43-48;1,0;24,0;-100;0,0;1,0;2,0;3,0;row;0,0;False;False;False;2,38300013542;True;1,25300002098
WPM1996w;experiment;2017-04-28-13-43-48;1,0;25,0;-100;1,0;0,0;2,0;3,0;column;1,0;True;True;False;3,61699986458;False;0,598999977112
WPM1996w;experiment;2017-04-28-13-43-48;1,0;26,0;-100;2,0;1,0;3,0;0,0;column;1,0;True;False;False;2,51699995995;False;1,30799984932
