Observer,Block,Score,AverageScore,iObserver,SessionID,COA,coaBlockIndex,Condition,IsLate,BlockPos,AvgPos
TMM1990w,1,1357,1357,11,2017-01-20-12-12-55,-100,1,game,FALSE,7,7
YWH1992w,1,281,281,14,2017-01-27-11-07-52,-100,1,game,FALSE,13,13
SSF1993w,1,701,701,17,2017-02-02-10-44-25,-100,1,game,FALSE,13,13
ARF1995w,1,552,552,19,2017-02-22-14-01-56,-100,1,game,FALSE,16,16
GHA1996m,1,837,837,20,2017-02-23-09-00-03,-100,1,game,TRUE,4,4
RHN1998w,1,1026,1026,21,2017-03-02-11-25-34,-100,1,game,TRUE,4,4
SRA1971w,1,1380,1380,24,2017-03-24-09-08-10,-100,1,game,TRUE,3,3
SBS1992w,1,1498,1498,25,2017-03-24-10-46-55,-100,1,game,TRUE,3,3
ACR1994m,1,866,866,28,2017-04-24-16-17-37,-100,1,game,TRUE,9,9
HMH1987w,1,71,71,29,2017-04-26-12-18-33,-100,1,game,TRUE,19,19
TKD1994w,1,958,958,31,2017-04-28-08-25-25,-100,1,game,TRUE,10,10
UWB1993w,1,772,772,33,2017-04-28-11-51-38,-100,1,game,TRUE,15,15
IRN1996w,1,587,587,35,2017-04-28-15-36-43,-100,1,game,TRUE,18,18
MMM1993w,1,4867,4867,37,2017-05-04-14-00-44,-100,1,game,TRUE,1,1
TMM1990w,2,633,995,11,2017-01-20-12-12-55,100,1,game,FALSE,8,11
YWH1992w,2,358,319.5,14,2017-01-27-11-07-52,100,1,game,FALSE,12,14
SSF1993w,2,494,597.5,17,2017-02-02-10-44-25,100,1,game,FALSE,14,15
ARF1995w,2,702,627,19,2017-02-22-14-01-56,100,1,game,FALSE,10,15
GHA1996m,2,5097,2967,20,2017-02-23-09-00-03,100,1,game,TRUE,1,1
RHN1998w,2,954,990,21,2017-03-02-11-25-34,100,1,game,TRUE,3,5
SRA1971w,2,2107,1743.5,24,2017-03-24-09-08-10,100,1,game,TRUE,3,3
SBS1992w,2,691,1094.5,25,2017-03-24-10-46-55,100,1,game,TRUE,8,5
ACR1994m,2,810,838,28,2017-04-24-16-17-37,100,1,game,TRUE,7,10
HMH1987w,2,233,152,29,2017-04-26-12-18-33,100,1,game,TRUE,19,19
TKD1994w,2,1040,999,31,2017-04-28-08-25-25,100,1,game,TRUE,5,9
UWB1993w,2,394,583,33,2017-04-28-11-51-38,100,1,game,TRUE,20,19
IRN1996w,2,348,467.5,35,2017-04-28-15-36-43,100,1,game,TRUE,23,21
MMM1993w,2,1099,2983,37,2017-05-04-14-00-44,100,1,game,TRUE,6,1
TMM1990w,3,621,870.3333333333334,11,2017-01-20-12-12-55,1000,1,game,FALSE,9,11
YWH1992w,3,720,453,14,2017-01-27-11-07-52,1000,1,game,FALSE,10,14
SSF1993w,3,381,525.3333333333334,17,2017-02-02-10-44-25,1000,1,game,FALSE,16,16
ARF1995w,3,3248,1500.6666666666667,19,2017-02-22-14-01-56,1000,1,game,FALSE,1,8
GHA1996m,3,839,2257.6666666666665,20,2017-02-23-09-00-03,1000,1,game,TRUE,6,1
RHN1998w,3,1050,1010,21,2017-03-02-11-25-34,1000,1,game,TRUE,4,6
SRA1971w,3,3032,2173,24,2017-03-24-09-08-10,1000,1,game,TRUE,2,2
SBS1992w,3,982,1057,25,2017-03-24-10-46-55,1000,1,game,TRUE,6,7
ACR1994m,3,496,724,28,2017-04-24-16-17-37,1000,1,game,TRUE,15,12
HMH1987w,3,987,430.3333333333333,29,2017-04-26-12-18-33,1000,1,game,TRUE,7,17
TKD1994w,3,1041,1013,31,2017-04-28-08-25-25,1000,1,game,TRUE,7,10
UWB1993w,3,596,587.3333333333334,33,2017-04-28-11-51-38,1000,1,game,TRUE,17,18
IRN1996w,3,692,542.3333333333334,35,2017-04-28-15-36-43,1000,1,game,TRUE,16,20
MMM1993w,3,1818,2594.6666666666665,37,2017-05-04-14-00-44,1000,1,game,TRUE,6,1
TMM1990w,4,967,894.5,11,2017-01-20-12-12-55,100,2,game,FALSE,8,11
YWH1992w,4,843,550.5,14,2017-01-27-11-07-52,100,2,game,FALSE,11,14
SSF1993w,4,541,529.25,17,2017-02-02-10-44-25,100,2,game,FALSE,16,17
ARF1995w,4,4599,2275.25,19,2017-02-22-14-01-56,100,2,game,FALSE,2,3
GHA1996m,4,1370,2035.75,20,2017-02-23-09-00-03,100,2,game,TRUE,5,3
RHN1998w,4,1763,1198.25,21,2017-03-02-11-25-34,100,2,game,TRUE,3,6
SRA1971w,4,3240,2439.75,24,2017-03-24-09-08-10,100,2,game,TRUE,3,2
SBS1992w,4,943,1028.5,25,2017-03-24-10-46-55,100,2,game,TRUE,9,8
ACR1994m,4,340,628,28,2017-04-24-16-17-37,100,2,game,TRUE,17,14
HMH1987w,4,745,509,29,2017-04-26-12-18-33,100,2,game,TRUE,12,17
TKD1994w,4,2388,1356.75,31,2017-04-28-08-25-25,100,2,game,TRUE,5,8
UWB1993w,4,463,556.25,33,2017-04-28-11-51-38,100,2,game,TRUE,21,18
IRN1996w,4,501,532,35,2017-04-28-15-36-43,100,2,game,TRUE,22,21
MMM1993w,4,1118,2225.5,37,2017-05-04-14-00-44,100,2,game,TRUE,13,4
TMM1990w,5,699,855.4,11,2017-01-20-12-12-55,1000,2,game,FALSE,8,11
YWH1992w,5,267,493.8,14,2017-01-27-11-07-52,1000,2,game,FALSE,14,14
SSF1993w,5,597,542.8,17,2017-02-02-10-44-25,1000,2,game,FALSE,15,16
ARF1995w,5,1356,2091.4,19,2017-02-22-14-01-56,1000,2,game,FALSE,9,4
GHA1996m,5,1443,1917.2,20,2017-02-23-09-00-03,1000,2,game,TRUE,4,4
RHN1998w,5,1505,1259.6,21,2017-03-02-11-25-34,1000,2,game,TRUE,2,6
SRA1971w,5,1851,2322,24,2017-03-24-09-08-10,1000,2,game,TRUE,2,2
SBS1992w,5,4352,1693.2,25,2017-03-24-10-46-55,1000,2,game,TRUE,1,6
ACR1994m,5,560,614.4,28,2017-04-24-16-17-37,1000,2,game,TRUE,14,14
HMH1987w,5,1096,626.4,29,2017-04-26-12-18-33,1000,2,game,TRUE,10,13
TKD1994w,5,800,1245.4,31,2017-04-28-08-25-25,1000,2,game,TRUE,13,10
UWB1993w,5,861,617.2,33,2017-04-28-11-51-38,1000,2,game,TRUE,13,17
IRN1996w,5,695,564.6,35,2017-04-28-15-36-43,1000,2,game,TRUE,18,21
MMM1993w,5,524,1885.2,37,2017-05-04-14-00-44,1000,2,game,TRUE,23,7
TMM1990w,6,959,872.6666666666666,11,2017-01-20-12-12-55,-100,2,game,FALSE,10,10
YWH1992w,6,1588,676.1666666666666,14,2017-01-27-11-07-52,-100,2,game,FALSE,8,14
SSF1993w,6,987,616.8333333333334,17,2017-02-02-10-44-25,-100,2,game,FALSE,14,17
ARF1995w,6,1154,1935.1666666666667,19,2017-02-22-14-01-56,-100,2,game,FALSE,13,5
GHA1996m,6,9535,3186.8333333333335,20,2017-02-23-09-00-03,-100,2,game,TRUE,2,2
RHN1998w,6,4146,1740.6666666666667,21,2017-03-02-11-25-34,-100,2,game,TRUE,3,5
SRA1971w,6,2912,2420.3333333333335,24,2017-03-24-09-08-10,-100,2,game,TRUE,4,4
SBS1992w,6,1560,1671,25,2017-03-24-10-46-55,-100,2,game,TRUE,7,7
ACR1994m,6,1094,694.3333333333334,28,2017-04-24-16-17-37,-100,2,game,TRUE,11,12
HMH1987w,6,660,632,29,2017-04-26-12-18-33,-100,2,game,TRUE,17,15
TKD1994w,6,2200,1404.5,31,2017-04-28-08-25-25,-100,2,game,TRUE,7,10
UWB1993w,6,602,614.6666666666666,33,2017-04-28-11-51-38,-100,2,game,TRUE,22,21
IRN1996w,6,945,628,35,2017-04-28-15-36-43,-100,2,game,TRUE,17,20
MMM1993w,6,2458,1980.6666666666667,37,2017-05-04-14-00-44,-100,2,game,TRUE,8,6
TMM1990w,7,1300,933.7142857142857,11,2017-01-20-12-12-55,-100,3,game,FALSE,8,11
YWH1992w,7,483,648.5714285714286,14,2017-01-27-11-07-52,-100,3,game,FALSE,11,14
SSF1993w,7,970,667.2857142857143,17,2017-02-02-10-44-25,-100,3,game,FALSE,12,15
ARF1995w,7,3753,2194.8571428571427,19,2017-02-22-14-01-56,-100,3,game,FALSE,2,4
GHA1996m,7,10820,4277.285714285715,20,2017-02-23-09-00-03,-100,3,game,TRUE,1,1
RHN1998w,7,5399,2263.285714285714,21,2017-03-02-11-25-34,-100,3,game,TRUE,2,4
SRA1971w,7,4512,2719.1428571428573,24,2017-03-24-09-08-10,-100,3,game,TRUE,4,3
SBS1992w,7,1112,1591.142857142857,25,2017-03-24-10-46-55,-100,3,game,TRUE,10,8
ACR1994m,7,1291,779.5714285714286,28,2017-04-24-16-17-37,-100,3,game,TRUE,11,12
HMH1987w,7,665,636.7142857142857,29,2017-04-26-12-18-33,-100,3,game,TRUE,15,17
TKD1994w,7,2466,1556.142857142857,31,2017-04-28-08-25-25,-100,3,game,TRUE,10,11
UWB1993w,7,778,638,33,2017-04-28-11-51-38,-100,3,game,TRUE,18,20
IRN1996w,7,1715,783.2857142857143,35,2017-04-28-15-36-43,-100,3,game,TRUE,12,16
MMM1993w,7,3474,2194,37,2017-05-04-14-00-44,-100,3,game,TRUE,9,9
TMM1990w,8,1065,950.125,11,2017-01-20-12-12-55,1000,3,game,FALSE,9,11
YWH1992w,8,1703,780.375,14,2017-01-27-11-07-52,1000,3,game,FALSE,8,14
SSF1993w,8,451,640.25,17,2017-02-02-10-44-25,1000,3,game,FALSE,16,17
ARF1995w,8,1999,2170.375,19,2017-02-22-14-01-56,1000,3,game,FALSE,6,4
